_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_surrogate,variation_idx,phase,yield_score_surrogate
A_1903__nom,robust_valid,24.0,12.48,0.52,120.0,50.1431448161602,0.5835839873179793,0.5621409161947668,25.221371771767735,0.18996627466753124,0.6346294179558754,0.009906761152669787,0.5826037270016968,50.0,12.313881300145386,2.510047621341073,0.6373611111111112,0.1811860221982381,15.298747098568128,0.637447795773672,2.5540828634762796,2.7701829575093893,0.23116750647526513,0.8311860221982381,0.6000185157229729,1.6700071281673168,4.586725975482864,0.020890389420766844,0.12931366218473223,0.8466068983152133,,,A_1903,38,0,nominal,0.8114919857446125
A_2935__nom,robust_valid,24.0,12.48,0.52,120.0,58.16629477031529,0.4200987545773387,0.5564583588391543,36.36659507639706,0.19468095695599913,0.4906102802604437,0.022906381404027343,1.709475077688694,50.0,12.604993567881921,2.5275587583399624,0.6362152777777778,0.17926256734755175,15.275682336893713,0.636486764037238,2.575308601927371,2.7701829575093893,0.24459774737917453,0.8292625673475518,0.5846648199683773,1.497741725355557,4.586725975482864,0.01727053381075417,0.14374812371392873,0.8496418651749883,,,A_2935,39,0,nominal,0.8108583333333333
A_1431__nom,robust_valid,24.0,12.48,0.52,120.0,56.24642752390355,1.2801308082416654,0.5258608471602202,25.67808267660439,0.17819975400343538,0.5077223773114383,0.015420877262949943,1.093453070614487,50.0,12.548784533985032,2.488276776419765,0.5840972222222223,0.09678208805757582,14.00108359521199,0.5833784831338329,2.51424813875571,2.7701829575093893,0.1958845810235052,0.7467820880575758,0.5508975070340707,1.4330296983299033,4.586725975482864,0.018568838508954383,0.10597459523070406,0.7636756971017922,,,A_1431,40,0,nominal,0.8090083333333328
A_4159__nom,robust_valid,24.0,12.48,0.52,120.0,55.61832315567881,0.2716216715052724,0.4846651663072407,27.622558972798288,0.20416254698298872,0.6282268101349473,0.026026147278025744,1.3892612182535231,50.0,12.3544763038956,2.5235929899146905,0.61625,0.20631996450917822,14.793745266835202,0.6164060527848001,2.530324971295429,2.7701829575093893,0.17093686302005798,0.8563199645091782,0.6853831014891203,1.9256517624185783,4.586725975482864,0.011670731530421165,0.08293435573830825,0.8711346547089632,,,A_4159,41,0,nominal,0.8087583333333337
A_3348__nom,robust_valid,24.0,12.48,0.52,120.0,54.02761532831937,0.5772664211690426,0.623951633181423,26.4575151540339,0.19500846876762806,0.5238941354677081,0.013609636723995209,1.7933476865291595,50.0,12.628908016681399,2.5131228867739255,0.59515625,0.13101434129545209,14.28061818258362,0.5950257576076509,2.5360563504862563,2.7701829575093893,0.21005310122020837,0.7810143412954521,0.5709612400752437,1.5557041009962036,4.586725975482864,0.020333096930806295,0.11981741178395622,0.800492439447557,,,A_3348,42,0,nominal,0.8040833333333328
A_1800__nom,robust_valid,24.0,12.48,0.52,120.0,49.1663401639089,1.0904401978477836,0.38696206752210854,32.51306952908635,0.1822938678599894,0.5993219547905028,0.02259424416348338,1.2805971400812268,50.0,12.38307340666762,2.4952111155652807,0.6320486111111111,0.18890581315542676,15.168781567680677,0.6320325653200282,2.533274118158541,2.7701829575093893,0.18648869703050772,0.8389058131554268,0.652417116124919,1.6504130399490233,4.586725975482864,0.010588581530536907,0.09071576147793042,0.8530244647785359,,,A_1800,43,0,nominal,0.8008391025878437
A_2591__nom,robust_valid,24.0,12.48,0.52,120.0,50.48066724278033,1.0910765212029219,0.49017864018678664,24.502210719510913,0.20569517473690213,0.4562668823637068,0.007891293279826642,1.9551529833115637,50.0,12.649759673051339,2.494634357951079,0.5670833333333334,0.09550212853455997,13.60748566255089,0.5669785692729538,2.507203023825501,2.7701829575093893,0.16370261572552144,0.74550212853456,0.5817995128090385,1.6090463746528685,4.586725975482864,0.018344311548609167,0.08128723690589444,0.7613557632081077,,,A_2591,44,0,nominal,0.7980583333333331
A_3502__nom,robust_valid,24.0,12.48,0.52,120.0,55.38468215614557,0.3418111391365528,0.44259590534493326,32.2946219984442,0.15489093075506388,0.6470673268660903,0.02101685553789139,1.4033075948245823,50.0,12.36304031780818,2.521845815517355,0.5968402777777778,0.17078261069942047,14.323433289705795,0.5968097204044082,2.5307891301215584,2.7701829575093893,0.17071577530348378,0.8207826106994205,0.6500668353959367,1.862578432392949,4.586725975482864,0.009722324026982204,0.08664200265933239,0.8376113574305905,,,A_3502,45,0,nominal,0.7975666666666671
A_4400__nom,robust_valid,24.0,12.48,0.52,120.0,53.73876763321459,0.06078662350773811,0.34331145621836184,31.215828848071396,0.17049029329791665,0.619650418870151,0.023724834015592933,0.7510369899682701,50.0,12.507822097056245,2.546388263502326,0.59125,0.19233832916778826,14.179415869044197,0.5908089945435082,2.5390025930122233,2.7701829575093893,0.13239130963148818,0.8423383291677883,0.7099470195363001,2.224250740344629,4.586725975482864,0.008212043811575497,0.05702784773583855,0.8550188413416611,,,A_4400,46,0,nominal,0.7954166666666673
A_119__nom,robust_valid,24.0,12.48,0.52,120.0,35.88437371328473,0.553291822783649,0.4425067624077201,33.04592131637037,0.19133585395291447,0.6472235948778688,0.008936404148116707,1.093088184017688,50.0,12.625225969318523,2.514857926991862,0.6434895833333333,0.19853132685859343,15.459202706631098,0.6441334461096291,2.554536961663085,2.7701829575093893,0.23181843100441632,0.8485313268585934,0.6167128958541771,1.7028287574685568,4.586725975482864,0.015219463978475711,0.12897448401945863,0.863900580552922,,,A_119,47,0,nominal,0.7954000000000002
