_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_06l,variation_idx,phase,rep_kind,strict_score_06l_surrogate,yield_score_06l_surrogate
J_668__nom_06jb,robust_valid,24.0,12.48,0.52,120.0,50.10435198806226,1.0065864874050021,0.650362918805331,21.491766492836177,0.21078440606594084,0.6402988031506538,0.019111606171354652,1.0545917442068458,34.066335312090814,12.532209414615576,2.496465613059314,0.6214583333333333,0.15322533111288028,14.905975997659345,0.6210823332358061,2.5387050244735923,2.7701829575093893,0.21532863107479094,0.8032253311128803,0.5878967000380894,1.5237104363748126,4.586725975482864,0.020317067690265714,0.1179677239292033,0.8196268344126576,,,J_668,49,0,nominal,,-3.605006561303676,0.7992250000000002
J_2965__nom_06jb,robust_valid,28.0,12.6,0.45,140.0,52.552249948494136,0.9641841100528836,0.5138970596715808,27.37820698413998,0.19911897073499857,0.542684191185981,0.007972973305732012,1.7116183680482209,92.76899410877377,12.381768306289246,2.4474449632311206,0.5496279761904762,0.17707097829397955,15.387429444096705,0.5495510515748824,2.4389650955639466,2.7751431839943566,0.10481835687865416,0.8270709782939796,0.7222526214153254,1.48245350711663,4.570215469540365,0.01047681004799803,0.053045022295769004,0.8419437353624314,,,J_2965,50,0,nominal,,-3.6078245877185076,0.9548249999999984
J_2773__nom_06jb,robust_valid,28.0,12.6,0.45,140.0,47.26548432279378,2.5189830902963877,0.33984911181032657,22.686714380979538,0.17957528947852552,0.5913605733774603,0.021434149285778404,1.594377739354968,22.067853254266083,12.512402045007374,2.3883790220082046,0.4889732142857143,0.07194851111062828,13.677805866702746,0.4884930666679552,2.389719302385056,2.7751431839943566,0.06598469028091211,0.7219485111106283,0.6559638208297162,1.1182277793240523,4.570215469540365,0.004155270857980747,0.025867948241353727,0.737204243820646,,,J_2773,51,0,nominal,,-3.7194915957014882,0.6557750000000006
J_1898__nom_06jb,robust_valid,28.0,14.56,0.52,140.0,51.24801071640104,0.7075073467567563,0.37169507443904876,33.994511822238564,0.19121675949543715,0.40344157433137295,0.010498095452785492,0.6764004225842655,95.58143021538854,14.672335091278319,2.4814766187859094,0.5755505952380953,0.14316484822977393,16.109384624966427,0.5753351651773724,2.4858105674460527,2.7772415217012325,0.11575654433356954,0.793164848229774,0.6774083038962044,1.7237094768943109,4.523265297694232,0.011777454230680174,0.05646004147416036,0.8023654337586898,,,J_1898,52,0,nominal,,-3.7310265216621006,0.9161333333333331
J_1333__nom_06jb,robust_valid,28.0,12.6,0.45,140.0,38.61927238013595,2.4199066506698728,0.3534574002958834,38.087384942919016,0.20596089786849917,0.4728594159707427,0.01999319569207728,1.2287022420205176,95.66298523917794,12.307635594147905,2.3584481152928793,0.5583482142857142,0.1477410569608698,15.639392179364298,0.558549720691582,2.3600704636330354,2.7751431839943566,0.1274108368272863,0.7977410569608698,0.6703302201335836,0.8643021659140018,4.570215469540365,0.007586055613151448,0.06641946574581252,0.8167575937676176,,,J_1333,53,0,nominal,,-3.7690646747980043,0.4425518175433132
J_1418__nom_06jb,robust_valid,28.0,14.56,0.52,140.0,37.42837787233293,2.0757094686850905,0.3974824586883187,29.831784083507955,0.1964147830288857,0.48781471606343985,0.012493260679766536,0.810625396668911,57.438956196419895,14.637761877246035,2.3920876580545594,0.5795833333333333,0.10785194860135716,16.227675662952166,0.5795598451054345,2.4077235061842845,2.7772415217012325,0.1511537711526764,0.7578519486013572,0.6066981774486808,1.0649116076372185,4.523265297694232,0.012399035504363045,0.0786550114159935,0.7689350750257815,,,J_1418,54,0,nominal,,-3.8036691713456836,0.5591424875924316
J_3235__nom_06jb,robust_valid,24.0,12.48,0.52,120.0,51.61701966729015,0.42710771318525076,0.7243876193650067,36.24854498077184,0.1652693989686668,0.5987770847044885,0.01339393182657659,1.5151323545724154,93.02528908941895,12.683399037631526,2.58996472711345,0.6961631944444444,0.17166093363056634,16.71165078385942,0.6963187826608092,2.8354500110563263,2.7701829575093893,0.34750598653117387,0.8216609336305664,0.4741549470993925,1.2680554075140131,4.586725975482864,0.02336476047249386,0.2428217751525239,0.8441193949042273,,,J_3235,55,0,nominal,,-3.803959022004577,0.8084333333333331
J_2374__nom_06jb,robust_valid,28.0,14.56,0.52,140.0,37.38132508099079,0.004800145514309406,0.42777345068752765,41.70697485562414,0.15751604253426194,0.6096834614872932,0.0218826961889863,1.3164438493549824,46.580227888189256,14.324957460983025,2.4749850372079836,0.5610565476190477,0.15333229146971616,15.706721932319862,0.5609543547257093,2.4716088766710547,2.7772415217012325,0.12188507655830676,0.8033322914697162,0.6814472149114095,1.6712514708330992,4.523265297694232,0.00589390818986712,0.0660875611143331,0.8171212379423172,,,J_2374,56,0,nominal,,-3.8548495903691355,0.7859250000000004
J_4828__nom_06jb,robust_valid,24.0,12.48,0.52,120.0,49.102788149379194,0.4490546453744173,0.4911141867749393,34.356277720071375,0.20683677635155617,0.45854970123618843,0.021319633182138205,1.7387529131956398,21.08448731712997,12.411337336290588,2.514229011245785,0.5924652777777778,0.14900865772924787,14.219374353036349,0.5924739313765145,2.5296198262191156,2.7701829575093893,0.18753043356301743,0.7990086577292479,0.6114782241662304,1.6432164980000272,4.586725975482864,0.014380342039212709,0.1007824639123379,0.8188450330303157,,,J_4828,57,0,nominal,,-3.8792672518058753,0.8260333333333343
J_3869__nom_06jb,robust_valid,24.0,10.8,0.45,120.0,40.09820457547903,1.4052814655005932,0.7201602498069406,31.4114637253806,0.16736235140822828,0.6275921779684723,0.0021429863758385182,1.8480989402160048,50.46918802894652,10.859151166976998,2.5899278093599056,0.6107291666666667,0.12167724520358825,14.649505814959463,0.610396075623311,2.63870724967498,2.8001199482964156,0.29134277286346805,0.7716772452035883,0.4803344723401202,0.9805738737848149,4.539811637792289,0.023006507413207877,0.20026960649507036,0.8008045997220526,,,J_3869,58,0,nominal,,-3.970114017468778,0.5797
