recipe_id,rank_surrogate,yield_score_surrogate,p_robust_valid_surrogate,mean_cd_fixed_surrogate,mean_cd_locked_surrogate,mean_ler_locked_surrogate,mean_area_frac_surrogate,mean_p_line_margin_surrogate,fd_label,FD_yield_score_nominal,CD_final_fd,CD_locked_fd,LER_CD_locked_fd,area_frac_fd,P_line_margin_fd
A_1757,73,0.7668083333333328,0.892616666666666,14.674982326174154,12.399410614508902,2.5296819011312075,0.5897189302662034,0.09559747740380359,robust_valid,0.11053974640722686,13.110539746407227,12.320813246133403,2.5332961315075284,0.5471180555555556,0.10289373243410538
A_949,74,0.7657250000000004,0.8988333333333337,15.507236642854023,12.402431891938832,2.5501563410019714,0.6480366866319446,0.11562472390768595,robust_valid,1.0,14.000299587078132,12.313349044817613,2.509429153882061,0.5838888888888889,0.11714252573501116
A_3011,75,0.765425,0.9033666666666668,15.43898452443585,12.509617461822824,2.515829903372454,0.6446411947337967,0.13113844700116162,robust_valid,1.0,14.57671373621036,12.217482102991328,2.458072460399529,0.6073611111111111,0.11404875015523186
A_59,76,0.7650666666666665,0.897283333333333,15.997019435108747,12.512612567780725,2.5545073357050927,0.632459258391204,0.11031527420934487,robust_valid,1.0,14.576445085938166,12.522628141661958,2.475045317631498,0.60734375,0.13787695060527483
A_3851,77,0.7650083333333331,0.9069999999999997,15.70153430818883,12.504411927367569,2.6224132823125,0.7298043104745369,0.15694690451063312,robust_valid,1.0,14.306974019373726,12.327825014908885,2.5228011887230126,0.5961458333333334,0.15917461066374983
A_2566,78,0.7639750000000005,0.8945833333333338,15.112101528354255,12.415703320263773,2.5205239993969397,0.6686100104166662,0.1513327557079616,robust_valid,-0.04741836308400238,12.952581636915998,12.295874428077358,2.5745050518339507,0.5408854166666667,0.11615460327958504
A_3432,79,0.7638851623133445,0.9269000000000004,16.05854817101999,12.5249898097341,2.5885723445848408,0.6917269441550927,0.1402897892809095,robust_valid,1.0,14.886671527514888,12.374114839537228,2.501914550985577,0.62046875,0.1436598912143442
A_580,80,0.7637166666666665,0.9059999999999999,15.2544126351665,12.419416864774497,2.517662826813736,0.6166571973379633,0.12616341846366141,robust_valid,-0.39340952527964923,12.60659047472035,12.365804829412179,2.5289892116373296,0.5252604166666667,0.07155331330672665
A_310,81,0.7628499999999999,0.9008499999999998,14.879937852654983,12.3932922619761,2.571129055611541,0.6596571339699077,0.11806052092620532,robust_valid,0.6846984010125627,13.684698401012563,12.407906036828432,2.5061822622292946,0.5703125,0.10626018273409388
A_4357,82,0.7622000000000005,0.8895833333333338,15.739489165329212,12.470506166736655,2.6005031871684583,0.6718147731481481,0.12314929640354405,robust_valid,-0.9886099367288281,17.988609936728828,12.44991766123822,2.5307881301666173,0.7490972222222222,0.21991514938127166
A_1390,83,0.7612666666666664,0.8932166666666664,14.501799465575578,12.436310950313219,2.517741356832246,0.6299390856481483,0.12737522996573414,robust_valid,-0.12422362024463496,12.875776379755365,12.604323648090148,2.503764181917122,0.5370833333333334,0.06891566679711991
A_2059,84,0.7600733431599713,0.9243833333333336,16.061918323506696,12.473756502663353,2.5820619226319264,0.7129216631944442,0.1595932744331082,robust_valid,1.0,15.359111516793087,12.494853593384217,2.4776881052120183,0.6395833333333333,0.18435989478412218
