_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_strict,variation_idx,phase,strict_score_surrogate,yield_score_surrogate,rep_kind
G_4299__margin-best_mc057_06h,robust_valid,24.0,12.05635603514775,0.5023481681311562,120.0,56.85002333482699,0.0,0.35571783008659313,28.31852818003094,0.21299692060720896,0.5580831694416701,0.02522184900596239,1.249629085417837,50.0,12.208057571317308,2.594191931185824,0.5735416666666666,0.20540376834477814,13.751445624790554,0.5729769010329397,2.582564627429331,2.8144121949868786,0.10094272938120268,0.8554037683447782,0.7544610389635755,2.2473728579171115,4.559590695822953,0.007077858090494597,0.03891498849215493,0.8689940499462648,,,G_4299,47,57,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
G_4299__margin-best_mc058_06h,robust_valid,24.0,12.215935717009584,0.508997321542066,120.0,55.65327192973246,0.047508566033915456,0.3678692252732741,28.455856746465333,0.20548106814675623,0.5580831694416701,0.024898918435488412,1.249629085417837,50.0,12.13379260258019,2.567315761147346,0.5727256944444444,0.19224772171901805,13.74404427828731,0.5726685115953046,2.557989248227112,2.7915132488903636,0.10722656279311164,0.8422477217190181,0.7350211589259065,2.2452692789605946,4.6120604907366936,0.007665382133485119,0.04379997958045165,0.8563690054423725,,,G_4299,47,58,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
G_4299__margin-best_mc059_06h,robust_valid,24.0,12.374871070728151,0.5156196279470063,120.0,55.343145834830715,0.03641865759114671,0.4119270996191298,29.98077768282596,0.21784647488017936,0.5580831694416701,0.024052509790934765,1.249629085417837,50.0,12.37597683387254,2.539193983608077,0.6106423611111111,0.2190277892651914,14.656669327667739,0.6106945553194891,2.5324705142837383,2.7824884886367744,0.1544418692418174,0.8690277892651914,0.714585920023374,2.0753776608353744,4.662326399049673,0.011100303637454845,0.07149889766981166,0.8830087846498728,,,G_4299,47,59,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
G_4299__margin-best_mc060_06h,robust_valid,24.0,12.642556198093981,0.5267731749205825,120.0,55.366016683935115,0.0,0.35790436917625595,27.24108480351491,0.21475228382828626,0.5580831694416701,0.022606416940618483,1.249629085417837,50.0,12.693681319816921,2.5624369014386574,0.5943923611111112,0.2033998160625793,14.250904519060626,0.5937876882941927,2.554788858388782,2.7806780767866632,0.11399863709767787,0.8533998160625793,0.7394011789649014,2.3015591137024543,4.5604685408142664,0.008323423188243083,0.04405723962846672,0.8644638820389744,,,G_4299,47,60,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
G_4299__margin-best_mc061_06h,robust_valid,24.0,12.20801718730193,0.5086673828042471,120.0,55.158692097932786,0.009983524946449857,0.36453707210994596,29.394239920663782,0.22,0.5580831694416701,0.02260423036619348,1.249629085417837,50.0,12.210465167144083,2.564287278400339,0.59671875,0.22318462450268017,14.334530058266722,0.5972720857611135,2.5505194740718147,2.792465108456999,0.12508135606608478,0.8731846245026802,0.7481032684365954,2.1992712927862628,4.610393923209016,0.008986951640967756,0.05266931636789181,0.8861540910492707,,,G_4299,47,61,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
G_4299__margin-best_mc062_06h,robust_valid,24.0,12.538998289454197,0.5224582620605915,120.0,56.340028526363824,0.01722529317442628,0.4027760044527859,27.354632486028585,0.2057554073964976,0.5580831694416701,0.021499129984582456,1.249629085417837,50.0,12.461394280862507,2.544401837241313,0.5896875,0.19041850063920163,14.150287524895603,0.5895953135373168,2.538775587851048,2.7750835877876763,0.13018586387967382,0.8404185006392016,0.7102326367595279,2.166323956067609,4.5622532925370765,0.010016260882798228,0.05564134621000599,0.8537381604944242,,,G_4299,47,62,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
G_4299__margin-best_mc063_06h,robust_valid,24.0,12.659333833214749,0.5274722430506146,120.0,57.92286942880375,0.0,0.3814535250556273,29.84785716696893,0.2067291761347393,0.5580831694416701,0.02344044406691849,1.249629085417837,50.0,12.426781529424316,2.546243841932538,0.6105729166666667,0.21413639745606317,14.648754097441884,0.6103647540600785,2.5400518894274065,2.777097292288386,0.14376009081600521,0.8641363974560632,0.7203763066400579,2.158992269744726,4.557913518855562,0.010040306819245939,0.06300138905047169,0.8764257455404876,,,G_4299,47,63,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
G_4299__margin-best_mc064_06h,robust_valid,24.0,12.144503689263875,0.5060209870526614,120.0,54.68956494929599,0.0,0.36862490678678705,30.700700520317344,0.22,0.5580831694416701,0.023915811493977354,1.249629085417837,50.0,12.279696878679529,2.5628427403762744,0.6006423611111111,0.22775859068124527,14.422123598696084,0.6009218166123368,2.5482448821562413,2.7961854117664577,0.13236040667171703,0.8777585906812453,0.7453981840095283,2.1466061534684107,4.615839646310796,0.009064594632247947,0.05703736686473929,0.8911770279973679,,,G_4299,47,64,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
G_4299__margin-best_mc065_06h,robust_valid,24.0,12.56749593049726,0.5236456637707192,120.0,54.537925726209,0.1615418680213564,0.3722681887984131,28.67042503963762,0.21278553237471887,0.5580831694416701,0.02533984047849236,1.249629085417837,50.0,12.741891533124983,2.5501867488966115,0.5980902777777778,0.20360594805367838,14.349330374510123,0.5978887656045885,2.545413313197172,2.7773402755388634,0.12566941608390367,0.8536059480536784,0.7279365319697747,2.1789385996312562,4.537428783505456,0.008742225049837411,0.051776651816949494,0.8657079902743345,,,G_4299,47,65,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
G_4299__margin-best_mc066_06h,robust_valid,24.0,12.510541738362932,0.5212725724317888,120.0,55.493017476617005,0.006618278120593707,0.39359155993171546,29.381874240232005,0.2164528192067582,0.5580831694416701,0.021015317254288374,1.249629085417837,50.0,12.508311843080048,2.5349886012610123,0.6140104166666667,0.22084039378282683,14.745120897952313,0.6143800374146797,2.528082622100847,2.7710118074472474,0.15111056134535863,0.8708403937828268,0.7197298324374682,2.1254319848607603,4.618622263773679,0.011036736020712165,0.0668089946492294,0.8834645094984535,,,G_4299,47,66,mc_representative,0.6143115721574158,0.9971750000000008,margin-best
