recipe_id,rank_06c,yield_score_06c,yield_score_06a,p_robust_valid_06c,p_robust_valid_06a,mean_cd_fixed_06c,mean_ler_locked_06c,fd_label,FD_yield_score_nominal,CD_final_fd,CD_locked_fd,LER_CD_locked_fd,area_frac_fd,P_line_margin_fd
D_1214,21,0.988200000000002,-0.22486785945039567,0.9940333333333353,0.9288666666666664,14.540658117513797,2.5424692244872973,robust_valid,1.0,14.91332226831831,12.418957365862713,2.526452581731231,0.6214236111111111,0.2089771598698329
D_665,22,0.9876416666666674,0.5583257305338639,0.9947333333333341,0.9414499999999992,15.09424353651613,2.538827399832593,robust_valid,1.0,15.852403011054943,12.4976767007943,2.51457744076592,0.6606076388888888,0.20347091385954263
D_4521,23,0.9874666666666669,0.6764558920405137,0.9947166666666669,0.9389333333333333,14.6571396253104,2.5415312681646416,robust_valid,1.0,14.530252218591617,12.365088654891332,2.530941389405794,0.6052083333333333,0.18354571176314072
D_3261,24,0.9873083333333363,-0.004476411864987928,0.994650000000003,0.9562999999999994,14.890495874729691,2.535784152932105,robust_valid,1.0,15.953280140165717,12.368879278870107,2.5082187383793313,0.6649131944444444,0.23162126127695293
D_333,25,0.9868416666666683,0.002407466752213483,0.9926333333333349,0.9505666666666671,15.446066695137542,2.5402296981863093,robust_valid,1.0,15.282177403978347,12.21368280052209,2.5147188678513555,0.6369097222222222,0.2212069583571311
D_3572,26,0.9864250000000023,-1.9319561138280879,0.9937666666666689,0.9390500000000004,15.945978791539744,2.540646721218205,robust_valid,-0.6295219449080989,17.6295219449081,12.562231181577449,2.5299198866113697,0.7342534722222223,0.2594976759857873
D_491,27,0.986241666666668,0.6242093826892169,0.9951333333333346,0.9471500000000006,14.885620335489147,2.5380824285281536,robust_valid,1.0,15.617301702368986,12.469696323025701,2.5168747907332714,0.6503472222222222,0.18231082385266784
D_366,28,0.9859833333333344,0.41346459275159,0.9928166666666678,0.9501166666666669,14.879436728061624,2.5360221016829763,robust_valid,1.0,15.300642563464189,12.570930531085999,2.506475035525292,0.6373263888888889,0.17303795662544086
D_2118,29,0.9856000000000003,0.8369333333333329,0.993266666666667,0.9324666666666662,15.444991185354738,2.5348921989076634,robust_valid,1.0,15.672845467789845,12.534251427566058,2.4995155359770713,0.6532118055555556,0.2070601210901971
D_3980,30,0.984716666666668,0.8391416666666663,0.994016666666668,0.9330666666666663,14.719519821708822,2.53557984361136,robust_valid,1.0,15.045495408932606,12.27062611463812,2.498929376888845,0.6272222222222222,0.15935411420973644
D_310,31,0.983683333333334,-0.33061589100194577,0.9939333333333341,0.94505,15.776067856043483,2.536762868727428,robust_valid,0.1608028233356329,16.839197176664367,12.523001843498951,2.5066220788409876,0.7015798611111111,0.27079689832173626
D_4995,32,0.9835583333333352,0.9076416666666668,0.9935166666666685,0.9621333333333335,15.222469776170726,2.5337054961492664,robust_valid,1.0,15.875190574849444,12.599427823154057,2.4974109256242647,0.6615625,0.2058230282785507
D_1178,33,0.9830166666666676,0.8969500000000004,0.9927666666666678,0.9554000000000002,14.383271085098022,2.5314779583753917,robust_valid,1.0,14.479071941048835,12.405254829079281,2.4987617861189326,0.6030208333333333,0.13266228954676973
D_3439,34,0.9825750000000015,0.1010398513127082,0.9929333333333349,0.9618666666666664,15.61261466356829,2.5362506791892803,robust_valid,0.7961616758528365,16.203838324147164,12.317777404963365,2.504330305848569,0.6747395833333333,0.24732889374353584
D_3751,35,0.9825333333333354,0.2578913502117349,0.992150000000002,0.9554833333333344,14.96684485194411,2.5410000351717317,robust_valid,1.0,15.168941426118362,12.339157570567506,2.5174261484760345,0.6318576388888889,0.21677394683949158
D_4800,36,0.9823250000000017,-1.3883468550693898,0.9904833333333349,0.9500666666666653,15.731096152472055,2.5403630748395685,robust_valid,0.5274398706900065,16.472560129309993,12.28340999265192,2.5162886542471528,0.6856944444444445,0.2703584439262674
D_1838,37,0.9822833333333362,0.8268500000000003,0.9938333333333361,0.9305500000000003,14.819855256017554,2.5372629001624496,robust_valid,1.0,14.64749267394165,12.3675392945025,2.5218127040091405,0.6099305555555555,0.17659821527845865
D_3809,38,0.9811750000000008,0.8659833333333327,0.9930666666666675,0.9525833333333327,14.28005165258765,2.536608514695385,robust_valid,1.0,15.271500672838034,12.66871902057109,2.5100539608474604,0.6363541666666667,0.19696902021864848
