_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,H_min,P_min,P_max,prefilter_score
iter1_target_under_exposed_145,under_exposed,28,14.56,0.52,140.0,30.640012171096934,2.2336263498973996,0.6538871158238331,25.09806683773793,0.16905941166431518,0.4308504628326791,0.015397288019882816,1.1231739688181503,64.62831806828248,14.416098257845196,2.3628106428800235,0.2108482142857143,-0.12719195769920855,5.931823422350652,0.2118508365125233,2.6096436162359007,2.7772415217012325,0.1135775555110936,0.5228080423007915,0.40923048678969787,0.7844788915124964,0.01246649556262851,0.06779802550059186,0.538240212338837,
iter1_target_under_exposed_146,numerical_invalid,18,9.36,0.52,90.0,22.574035670401734,0.6124853818070808,0.501799709862388,41.276774201763466,0.17733021575545627,0.3613417497038292,0.02223898956322992,1.808366981760777,83.62008092528079,nan,nan,0.0,-0.21915279693812734,nan,nan,nan,2.7811293208664543,0.1529560145425861,0.4308472030618727,0.2778911885192866,nan,0.00860474828610037,0.08781058022169903,0.47318135210996803,
iter1_target_under_exposed_147,under_exposed,20,10.4,0.52,100.0,29.848494493160697,2.924674209117516,0.3154880288274672,42.47004282365225,0.1515694672451354,0.3522178748958449,0.024293204946736452,1.5793555445094682,18.541015164023005,nan,nan,8.333333333333333e-05,-0.18742272494812467,nan,nan,0.2529871005739742,2.777139811468949,0.18803055941902297,0.46257727505187535,0.2745467156328524,nan,0.008317636729584346,0.10870756310601459,0.5004467146841115,
iter1_target_under_exposed_148,numerical_invalid,20,9.0,0.45,100.0,24.19409598428343,1.3520154472476753,0.4786118555879309,22.173959831952253,0.15042697878721892,0.4005993498788683,0.024134214282154388,1.842579733035432,73.45182385566284,nan,nan,0.0,-0.34785095936807675,nan,nan,nan,2.812021531233865,0.04338319466755469,0.30214904063192327,0.2587658459643686,nan,0.0043500645995968,0.018939205055833144,0.33171549027001235,
iter1_target_under_exposed_149,under_exposed,24,10.8,0.45,120.0,29.36959041536803,0.06632672810715803,0.5896308716874168,38.460579844723284,0.15338109323405455,0.40425131248533624,0.02577857296145094,1.3823070051233277,71.56952669350184,10.898470426461584,2.5982256473794765,0.009965277777777778,-0.17351354177496198,2.4566895380128586,0.10236206408386911,1.4614943323184144,2.8001199482964156,0.08080730004727797,0.47648645822503805,0.39567915817776006,1.5863190260900246,0.0056665628808977376,0.04777599305587867,0.5105869147552585,
iter1_target_under_exposed_150,under_exposed,18,8.1,0.45,90.0,34.462319709780274,0.7274474342571879,0.5370779214096376,44.112005804759086,0.15365269218033284,0.3735889717045083,0.020168344339691446,1.1760066631878443,40.04289308431499,7.869794257041855,3.149989667268195,0.13800925925925925,-0.1483993625775477,4.267343670924791,0.2370746483847106,2.541490242230948,2.807561738082017,0.2046244454684715,0.5016006374224523,0.29697619195398084,1.9209691613449507,0.011870831984335126,0.13019830772179,0.5588658583513483,
iter1_target_under_exposed_151,under_exposed,20,10.4,0.52,100.0,33.642370094677254,0.8879737309459625,0.7603193263429908,35.28056358893454,0.17380971727237515,0.44759629902795023,0.015612718819010997,1.5115414312541369,27.62007928663035,10.532894449955696,2.961617507601094,0.4521875,-0.053939474518362895,9.020403017751114,0.4510201508875557,2.969693942297952,2.777139811468949,0.28680370113573633,0.5960605254816371,0.3092568243459008,1.443680308417737,0.021177040019860895,0.1997148768966831,0.6354336089676711,
iter1_target_under_exposed_152,under_exposed,20,12.0,0.6,100.0,31.076951095175712,2.9696489394782803,0.3203899547986657,33.587707265887815,0.17402160471356581,0.36496740023538443,0.01877059846731733,1.7764983273355464,43.19116556050229,11.979739631534011,3.181513563747809,0.28010416666666665,-0.11964781379645184,5.732159329164097,0.28660796645820485,3.0423167083621268,2.812021531233865,0.2707162876212722,0.5303521862035482,0.259635898582276,1.0622648525791234,0.017380514240507336,0.16630602195888333,0.55702201139286,
iter1_target_under_exposed_153,under_exposed,28,14.56,0.52,140.0,24.610025911740607,0.9579689642488464,0.6557020486338072,43.27994420770919,0.1653636541275443,0.35906761618455246,0.01695237980930339,1.1073808622255266,28.307668362547112,14.76273449540883,2.4380714056864328,0.2255952380952381,-0.12377286205382498,6.345851426639124,0.2266375509513973,2.7733398641075935,2.7772415217012325,0.13131598091123833,0.526227137946175,0.39491115703493673,0.9966685407048406,0.010636544517726733,0.08950091469828969,0.545543177987825,
iter1_target_under_exposed_154,numerical_invalid,32,14.4,0.45,160.0,32.627756574912226,0.7618299760651293,0.6392472785734962,25.438061449015617,0.15748819571550865,0.3642444866963595,0.016913184619016662,1.3455491749218662,21.292603743974826,nan,nan,0.0,-0.19382613026823298,nan,nan,nan,2.777139811468949,0.024407988727435673,0.45617386973176705,0.4317658810043314,nan,0.004011605592363847,0.012642467927775694,0.46947455831554397,
