_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,role,phase,variation_idx,strict_score_surrogate,yield_score_surrogate,strict_pass_prob_proxy_surrogate
J_2261__nom,robust_valid,28.0,14.56,0.52,140.0,29.729998491704464,0.25449125468730927,0.5436822867020965,40.91991091147065,0.2150365821365267,0.4802938223816454,0.024843701524659992,0.8390938574448228,74.2288269335404,14.372736057101614,2.45256771985398,0.5618303571428571,0.12169684201643549,15.732521789696175,0.5618757782034348,2.4557910847017537,2.7772415217012325,0.17061974814884362,0.7716968420164355,0.6010770938675919,1.3870893523508017,4.523265297694232,0.011631530768193803,0.10673453101214245,0.7879864140658038,,,J_2261,cd_top,nominal,0,0.042415411557002985,0.2509416666666667,0.6349235523996839
J_1634__nom,robust_valid,24.0,12.48,0.52,120.0,44.127468961291015,0.3329942598938942,0.5456690738908947,42.2800292307511,0.1946506539452821,0.6069355911575258,0.027555771823972463,0.7620910061523318,51.99416162446141,12.502576819266235,2.5528131558830642,0.7170486111111111,0.22561963154508402,17.218393404554114,0.717433058523088,2.798874451240313,2.7701829575093893,0.33824457430195237,0.875619631545084,0.5373750572431317,1.4663216809852457,4.586725975482864,0.017730311813507777,0.22458755347525092,0.8936756204153592,,,J_1634,cd_top,nominal,0,0.46414646150440664,0.7758083333333329,0.7634030121272692
J_377__nom,margin_risk,28.0,14.56,0.52,140.0,55.48702282179147,2.8049352820962667,0.5858285061083734,22.999383863061666,0.17427079655230046,0.5042604001238942,0.02076791197992861,0.8160683908499777,70.06120708305389,14.306618609342298,2.341550514867032,0.567827380952381,0.048841702035279155,15.892611176534288,0.567593256304796,2.3695757515179303,2.7772415217012325,0.21155976693954492,0.6988417020352792,0.48728193509573425,0.6458621236254293,4.523265297694232,0.020132042390043903,0.12755286032845078,0.7117408139631469,,,J_377,cd_top,nominal,0,0.20000119980743156,0.4617250000000005,0.7022313262520671
J_175__nom,roughness_degraded,18.0,9.36,0.52,90.0,26.474207536317408,0.8667914187535644,0.742278461996466,38.44156263396144,0.20479058120399712,0.48662402424961326,0.001370220836251974,1.550147064961493,70.1204599160701,9.195610323506095,3.50097379232474,0.7581944444444444,0.0354418072363597,13.563675449993141,0.753537524999619,3.969336348180002,2.7811293208664543,0.4459410004113503,0.6854418072363597,0.2395008068250094,1.6610986486643082,4.56977766812892,0.03252701563528433,0.34068842322981696,0.7310750879913953,,ler_locked_max+ler_design_excess,J_175,cd_top,nominal,0,-3.0719840600896156,-1.6794415420598354,0.0067807047354343074
J_1657__nom,robust_valid,28.0,12.6,0.45,140.0,54.55379491299391,0.02032105252146721,0.6722408548928798,29.85673770774156,0.18847177851013838,0.561739297490567,0.005526198344305158,0.6788015975616872,88.72814638074487,12.55974499629183,2.4525186393414296,0.5635714285714286,0.18606523472718228,15.781594039646823,0.5636283585588151,2.4100505082363597,2.7751431839943566,0.1689499324706288,0.8360652347271823,0.6671153022565535,1.386209368753295,4.570215469540365,0.017407028102011727,0.10477591641558079,0.8552243330402988,,,J_1657,cd_top,nominal,0,0.5083132149535817,0.880658333333334,0.7316833147023757
J_3780__nom,roughness_degraded,20.0,12.0,0.6,100.0,35.012108453549445,2.2475255699828267,0.47430261336266993,43.647929867729545,0.17148763918317855,0.4576115936040878,0.02823778660967946,1.5855544423684478,56.516508432105184,12.033382367887153,3.384994208556953,0.6583541666666667,0.015490194548102187,13.131621633916007,0.6565810816958003,3.7243243741375123,2.812021531233865,0.37135631692091164,0.6654901945481022,0.29413387762719057,1.1954709759405817,4.616233784878745,0.016534840792828145,0.2413974583810205,0.6972529640907048,,ler_locked_max+ler_design_excess,J_3780,cd_top,nominal,0,-3.5475962245420023,-1.728849525070649,1.071277206078424e-05
J_3893__nom,robust_valid,28.0,12.6,0.45,140.0,30.609440823085606,2.125967776402831,0.38976227045059203,33.49936751648784,0.18701105582527816,0.5409971795044839,0.0032780534774065014,1.5937976711429656,90.68385116755962,12.7843560273233,2.374937461427382,0.5290625,0.1147353690628159,14.802995804469163,0.5286784215881843,2.37435647381117,2.7751431839943566,0.12099300538540532,0.7647353690628159,0.6437423636774106,0.9801184581729366,4.570215469540365,0.009036738514554625,0.06443442272569577,0.7835892524272537,,,J_3893,cd_top,nominal,0,0.040597174346456606,0.5511999999999998,0.5213864466285675
J_3447__nom,merged,20.0,9.0,0.45,100.0,33.06205078214407,2.948922134935856,0.41416569631546735,37.37357473466545,0.2053103724680841,0.5676696403883398,0.00039859794080257413,1.2530847233720124,52.56944885477424,9.086109735518024,3.0506991908832624,0.8790416666666667,0.14951130473511953,17.381707541776162,0.8690853770888081,3.189882027398249,2.812021531233865,0.4774919834353515,0.7995113047351196,0.32201932129976807,0.8472443044123515,4.616233784878745,0.030231611984598596,0.34371126654788264,0.8393815823790203,,ler_locked_max+ler_design_excess,J_3447,cd_top,nominal,0,-1.0171030214236123,-0.649558333333333,0.26971660972169886
J_4516__nom,roughness_degraded,20.0,12.0,0.6,100.0,36.84423184208572,0.09647620562463999,0.7043361726216972,30.59946569148451,0.19892951575107873,0.4592125158756971,0.009803489288315176,0.9820137275382876,88.62677526194602,11.873572267990665,2.993651689929201,0.6652708333333334,0.05060088505959415,13.310643330257253,0.6655321665128626,3.2280524290778176,2.812021531233865,0.3681244390098758,0.7006008850595942,0.3324764460497184,1.7316271941895416,4.616233784878745,0.03576162022980535,0.2570550928651395,0.7281597737883717,,ler_design_excess,J_4516,cd_top,nominal,0,-1.6106460939707754,-1.0981890165840227,0.0
J_4371__nom,robust_valid,24.0,10.8,0.45,120.0,55.28126350231469,0.4579979656264186,0.380276183784008,39.72317185718566,0.19273076205514372,0.6457696624100209,0.011933036763221026,0.9684019344858825,68.05229628458619,10.84023710046155,2.5557329750220026,0.6669618055555555,0.28008887769131696,16.00529077979727,0.6668871158248862,2.562101421839949,2.8001199482964156,0.23657445288000759,0.930088877691317,0.6935144248113094,1.7196066596785127,4.539811637792289,0.013581725432937427,0.12889593118484313,0.9438338821563131,,,J_4371,balanced_top,nominal,0,-0.9343922483136211,0.8689615889188539,1.0437017394299308e-06
