_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_surrogate,variation_idx,phase,yield_score_surrogate,yield_score_06a_rescore,score_gap
D_1178__nom,robust_valid,24.0,12.48,0.52,120.0,47.8019116781652,0.9517217706888914,0.519553048722446,27.820883416570723,0.19024431952275336,0.5289291435852647,0.012415402382612227,1.1169261350296438,50.0,12.405254829079281,2.4987617861189326,0.6030208333333333,0.13266228954676973,14.479071941048835,0.6032946642103681,2.5316246078084887,2.7701829575093893,0.2082627389885208,0.7826622895467698,0.574399550558249,1.528094391622702,4.586725975482864,0.01872361671350366,0.11548455120977943,0.799980287382399,,,D_1178,33,0,nominal,0.9830166666666676,0.8969500000000004,nan
D_3439__nom,robust_valid,24.0,12.48,0.52,120.0,55.771613482385874,0.6745761539787054,0.42477962160483,36.871012235060334,0.21294970870949329,0.5561632157303393,0.025390181019902227,1.839338710065931,50.0,12.317777404963365,2.504330305848569,0.6747395833333333,0.24732889374353584,16.203838324147164,0.6751599301727985,2.5651651170031835,2.7701829575093893,0.22400720322261058,0.8973288937435359,0.6733216905209253,1.6432062215460217,4.586725975482864,0.012437375625472626,0.11253535629194301,0.9106697674040862,,,D_3439,34,0,nominal,0.9825750000000015,0.1010398513127082,nan
D_3751__nom,robust_valid,24.0,12.48,0.52,120.0,52.81576875317842,0.3339709024876356,0.42625363934785127,36.491450695320964,0.17357026192359626,0.6325252227485181,0.02141543942503631,1.9272492602467537,50.0,12.339157570567506,2.5174261484760345,0.6318576388888889,0.21677394683949158,15.168941426118362,0.6320392260882651,2.5327111270431506,2.7701829575093893,0.19075294451714728,0.8667739468394916,0.6760210023223443,1.7872456096231186,4.586725975482864,0.009472146746768481,0.09598696128713011,0.8826325739184505,,,D_3751,35,0,nominal,0.9825333333333354,0.2578913502117349,nan
D_4800__nom,robust_valid,24.0,12.48,0.52,120.0,51.5475283479318,0.7375457771122456,0.30260659027844666,38.55630963109434,0.19090433161705733,0.626136139407754,0.017187402416020632,1.2050436553545296,50.0,12.28340999265192,2.5162886542471528,0.6856944444444445,0.2703584439262674,16.472560129309993,0.6863566720545831,2.565699643361036,2.7701829575093893,0.21256365126839383,0.9203584439262674,0.7077947926578736,1.903755172426284,4.586725975482864,0.010459418532390656,0.09888919228766115,0.929217009821704,,,D_4800,36,0,nominal,0.9823250000000017,-1.3883468550693898,nan
D_1838__nom,robust_valid,24.0,12.48,0.52,120.0,59.07340517453849,0.5242077810689807,0.41718939477577804,26.678059929981828,0.19500747112557293,0.5108471178449691,0.0046972926333546635,1.7532623200677335,50.0,12.3675392945025,2.5218127040091405,0.6099305555555555,0.17659821527845865,14.64749267394165,0.6103121947475688,2.535980239547512,2.7701829575093893,0.1673211321906437,0.8265982152784587,0.659277083087815,1.9514840930752857,4.586725975482864,0.016316544910266347,0.07832461706410634,0.8394201300152963,,,D_1838,37,0,nominal,0.9822833333333362,0.8268500000000003,nan
D_3809__nom,robust_valid,24.0,12.48,0.52,120.0,56.191487247124314,0.9593961518257856,0.43719055149704217,23.16172179300338,0.20125656444579362,0.6264442548155784,0.00950927272439003,1.5138720599934459,50.0,12.66871902057109,2.5100539608474604,0.6363541666666667,0.19696902021864848,15.271500672838034,0.6363125280349181,2.540013293724816,2.7701829575093893,0.17464719446553717,0.8469690202186485,0.6723218257531114,1.8458671486087028,4.586725975482864,0.01471353973818802,0.07813117037133359,0.857978493798167,,,D_3809,38,0,nominal,0.9811750000000008,0.8659833333333327,nan
D_547__nom,robust_valid,24.0,12.48,0.52,120.0,57.95948317833245,0.16773574613034725,0.3265273507684469,30.488764941692352,0.16165674379095435,0.5893306641839444,0.010790954288095235,0.7217996949329972,50.0,12.62356610297213,2.5464726935898083,0.5964409722222223,0.1910193041539029,14.313805192997483,0.5964085497082284,2.541188896619434,2.7701829575093893,0.13503304425442655,0.8410193041539029,0.7059862598994764,2.22436298829279,4.586725975482864,0.00954684482425077,0.05680904338019603,0.8525880396318578,,,D_547,39,0,nominal,0.9811083333333341,0.7926999999999997,nan
D_2680__nom,robust_valid,24.0,12.48,0.52,120.0,53.037449528463185,0.8144761249423027,0.5434143777936697,28.508565556257963,0.17126579411327839,0.6242985233664513,0.0151432148180902,1.099623474292457,50.0,12.473830195608093,2.5062913437808483,0.6335243055555555,0.1668977799086947,15.210599795063356,0.6337749914609732,2.5575004643004533,2.7701829575093893,0.23423041696435593,0.8168977799086947,0.5826673629443389,1.5434344355915977,4.586725975482864,0.01761420487734734,0.13393014484963153,0.8337565988994827,,,D_2680,40,0,nominal,0.9801666666666685,0.7292076412073031,nan
D_4008__nom,robust_valid,24.0,12.48,0.52,120.0,57.10445555951446,0.027334509417414665,0.39146149922162293,35.44070199597627,0.20182667962275447,0.646602425724268,0.019148177755996584,0.8789307842962444,50.0,12.291545989867785,2.527014346662886,0.6940798611111111,0.2777403847916141,16.658279695768478,0.6940949873236866,2.5796725383089205,2.7701829575093893,0.24893780562523188,0.9277403847916141,0.6788025791663823,1.9301986851208721,4.586725975482864,0.014771737619365066,0.13099955522384155,0.9379753840219124,,,D_4008,41,0,nominal,0.9795500000000021,-0.6347584727799858,nan
D_4836__nom,robust_valid,24.0,12.48,0.52,120.0,54.34673005063087,1.274950417689979,0.46932370979338883,26.47297240793705,0.1758589035831392,0.5585660075768828,0.015073543936014174,1.4207922336645424,50.0,12.394490537643014,2.485244478797356,0.6027083333333333,0.12974764958472362,14.46973645792146,0.6029056857467275,2.518635057681421,2.7701829575093893,0.18774710709948964,0.7797476495847236,0.592000542485234,1.5086915622024424,4.586725975482864,0.01502182135839706,0.0954106240461349,0.7952358805318219,,,D_4836,42,0,nominal,0.9790916666666682,0.8611916666666671,nan
