recipe_id,rank_06a_surrogate,yield_score_06a_surrogate,yield_score_06c_surrogate,mean_cd_fixed_06a,mean_cd_fixed_06c,mean_ler_locked_06a,mean_ler_locked_06c,p_robust_valid_06a,p_robust_valid_06c,fd_label,FD_yield_score_nominal,CD_final_fd,LER_CD_locked_fd,P_line_margin_fd,rank_06c_surrogate
A_4082,28,0.8294083333333335,0.9960583333333342,15.486790755940929,14.170680280346014,2.5908090972386137,2.544670554439348,0.9319666666666668,0.9986500000000008,robust_valid,1.0,14.09756234295973,2.5615838531140813,0.20259640872539908,12
A_4312,29,0.82577122366456,0.980825000000001,16.05875377633544,14.47538257414564,2.574032435018677,2.5363634162185154,0.9544166666666665,0.9924333333333343,robust_valid,1.0,15.115611328159565,2.5088085780846203,0.1964467542759204,18
A_1656,30,0.8242166666666665,0.7549101135893165,15.959910947042303,16.114473219744017,2.6151376080702757,2.5340053313933395,0.9215999999999999,0.9441833333333335,robust_valid,0.9207987332666008,16.0792012667334,2.4700446443804025,0.2170562641214595,92
A_2476,31,0.823016666666667,0.8799916680517945,14.778616199946873,13.911950001385128,2.5238682799828767,2.5436114126331115,0.9222333333333336,0.9841833333333335,robust_valid,0.39969189818018513,13.399691898180185,2.5322095350264617,0.1411841610900848,79
A_2389,32,0.8205152826820499,0.9873000000000016,16.06610971731795,15.328011475664796,2.519475608647423,2.5422838507956587,0.9570666666666665,0.9957666666666682,robust_valid,1.0,14.933278308292358,2.5435114386023203,0.236157547384653,16
A_2211,33,0.8190750000000004,0.9714583333333345,15.288553705268402,14.93173760437115,2.5282242779161606,2.5405588927681486,0.9120166666666671,0.9858833333333346,robust_valid,1.0,15.065888630399101,2.510608360524362,0.18679078623694667,26
A_1515,34,0.8173416666666669,0.8882149824815665,15.162635972318691,13.940489982481566,2.5672153252660177,2.5414960166247456,0.9207833333333335,0.974883333333334,robust_valid,0.14414194851924478,13.144141948519245,2.5347079557334764,0.12772405673549492,75
A_710,35,0.8164333333333339,0.8975750000000008,15.646007413760898,14.255460669564682,2.5479767789428838,2.5388372427803803,0.9223166666666671,0.9616000000000008,robust_valid,1.0,14.446246871351827,2.511591348188298,0.15132892429633038,71
A_4294,36,0.8162083333333339,0.8447932337625385,15.289511639092416,13.880959900429204,2.592036885482472,2.5402057043149475,0.914783333333334,0.9856000000000011,robust_valid,0.6310227389981264,13.631022738998126,2.5171323130126018,0.12053004534438305,86
A_3945,37,0.8148500000000003,0.9686250000000002,14.915030279698597,14.067108027599202,2.520397452215148,2.540727355162655,0.9143166666666669,0.9840333333333335,robust_valid,0.8959745190356951,13.895974519035695,2.5239398752562643,0.14232112133760155,28
A_1903,38,0.8114919857446125,0.9714250000000016,16.02084134758872,14.662263748294633,2.645226866269528,2.5379201427999556,0.9346833333333338,0.9889500000000017,robust_valid,1.0,15.298747098568128,2.510047621341073,0.1811860221982381,27
A_2935,39,0.8108583333333333,0.9542999999999998,15.200297081075,15.349258490544912,2.555043640805081,2.539713660611345,0.9178999999999998,0.9818833333333332,robust_valid,1.0,15.275682336893713,2.5275587583399624,0.17926256734755175,42
A_1431,40,0.8090083333333328,0.9555166666666673,15.3624712472442,14.07046341078886,2.5195373227370634,2.531544758563672,0.9178833333333327,0.9812000000000006,robust_valid,1.0,14.00108359521199,2.488276776419765,0.09678208805757582,41
A_4159,41,0.8087583333333337,0.9675416666666672,15.57837409393914,14.678349906119484,2.60887002598108,2.5395153771287324,0.911916666666667,0.9839833333333339,robust_valid,1.0,14.793745266835202,2.5235929899146905,0.20631996450917822,29
A_3348,42,0.8040833333333328,0.948516666666666,15.572430624946874,14.380324582153676,2.585103636240823,2.5400030551059745,0.9169666666666662,0.9797666666666659,robust_valid,1.0,14.28061818258362,2.5131228867739255,0.13101434129545209,45
A_1800,43,0.8008391025878437,0.9779333333333339,16.100902564078822,14.661681749176482,2.555230631129343,2.5344450118972643,0.9578499999999995,0.9894333333333338,robust_valid,1.0,15.168781567680677,2.4952111155652807,0.18890581315542676,22
A_2591,44,0.7980583333333331,0.3982565311792715,15.13497371112384,13.539423197845938,2.536113460306895,2.530874901902729,0.9100166666666664,0.9355833333333333,robust_valid,0.6074856625508893,13.60748566255089,2.494634357951079,0.09550212853455997,100
A_3502,45,0.7975666666666671,0.8911916666666674,15.435793481767059,14.243962167115392,2.647803263159028,2.543146437789583,0.9110333333333337,0.9588666666666674,robust_valid,1.0,14.323433289705795,2.521845815517355,0.17078261069942047,73
A_4400,46,0.7954166666666673,0.9745666666666676,15.817302943906927,14.063264243625149,2.584601633556405,2.5517411377971477,0.911233333333334,0.9874333333333343,robust_valid,1.0,14.179415869044197,2.546388263502326,0.19233832916778826,24
A_119,47,0.7954000000000002,0.9177500000000006,14.427005525464947,14.990893009515178,2.591709425758805,2.536967870246728,0.9107666666666668,0.9617166666666673,robust_valid,1.0,15.459202706631098,2.514857926991862,0.19853132685859343,61
A_1908,48,0.793641666666666,0.8989083333333335,15.09457828627635,15.242838617565864,2.5203222748509058,2.5442256087607005,0.8961999999999993,0.947766666666667,robust_valid,1.0,14.864208414130257,2.540029891220866,0.21782579463297302,70
A_2116,49,0.793511629692043,0.931008333333334,16.020013370307957,14.089238668291149,2.524038030846863,2.5372708163162754,0.922866666666667,0.9689000000000005,robust_valid,1.0,14.099980077120843,2.519159996367122,0.13948457958716154,54
A_1216,50,0.792275,0.8879750000000004,14.71620447844791,14.81238123332774,2.5237873712262746,2.533929549254943,0.8993333333333333,0.9439333333333337,robust_valid,1.0,14.391536001317121,2.4955909124098374,0.11298049012957578,76
A_755,51,0.7921666666666667,0.9192916666666671,15.86632170840104,15.273602579420151,2.5699918965990283,2.5424731123718933,0.9103833333333333,0.9593833333333339,robust_valid,1.0,15.127123649647132,2.5359577453787576,0.17201868869584036,60
A_225,52,0.789766666666667,0.9873166666666693,15.720561331530302,14.977991799069184,2.5500861977447915,2.540665292185838,0.9196833333333336,0.9953666666666693,robust_valid,1.0,14.524682748088122,2.523747934986173,0.172362854183865,15
A_3129,53,0.7894750000000004,0.8648583333333335,14.260223210421387,14.568541954814153,2.550844968028388,2.537881534927469,0.9144000000000004,0.9438833333333334,robust_valid,1.0,14.937185174409567,2.463053035872289,0.14988288047427312,82
A_4206,54,0.7883500000000003,0.9015249999999998,15.77332716603758,14.388200320853224,2.5167455783828685,2.5333451174352835,0.9131000000000001,0.9612666666666666,robust_valid,1.0,14.491630535756254,2.470253941008575,0.12418866007298657,67
A_4728,55,0.7858083333333337,0.9029416666666674,15.616251251527695,14.796853815027042,2.573462073863824,2.541509256310791,0.8989166666666669,0.9531500000000007,robust_valid,1.0,14.225202900355182,2.543248441469248,0.12254485697795037,66
A_1714,56,0.7853479033779341,0.9442416666666664,16.049177096622067,15.1530264647395,2.5714063328947443,2.537865030183397,0.9270666666666678,0.9712333333333331,robust_valid,1.0,15.587736415626452,2.5158418467892973,0.20894544408427995,48
A_1754,57,0.7838333333333333,0.7755942607392098,15.094461402321222,13.796035927405875,2.5260313219446413,2.542816169843876,0.9064333333333332,0.9913166666666686,robust_valid,-0.15334337646943652,12.846656623530563,2.5533561812200474,0.11770181105342781,90
A_1975,58,0.7837833333333325,0.6637288742975125,15.286326622935126,13.74857054096418,2.558945224756035,2.545481837547487,0.9022333333333326,0.9603833333333334,robust_valid,0.4583741531539083,13.458374153153908,2.5477854112026552,0.15281438263077285,94
A_456,59,0.7815250000000001,0.9162416666666668,15.35285533415792,14.49144745832687,2.545611047598781,2.5397091527728715,0.8898833333333336,0.9597000000000002,robust_valid,1.0,14.181330773804387,2.522970772742765,0.13073205820756395,62
A_3130,60,0.7813999999999997,0.9727166666666685,15.15292333612521,14.034447514846228,2.5486096336094763,2.5388682970333267,0.9135333333333331,0.9901333333333351,robust_valid,0.5502128515678262,13.550212851567826,2.52597281205147,0.11921213120519802,25
A_1088,61,0.7799666666666667,0.9265000000000002,15.493528642704431,14.384353565923853,2.601094106798394,2.5525738832928773,0.9060833333333332,0.9709333333333336,robust_valid,1.0,14.348780623941073,2.517750683728278,0.11333682493158304,57
A_2126,62,0.7787750000000002,0.913266666666667,15.21757076856182,15.935953306170138,2.573989991646696,2.5329015278073563,0.9010000000000001,0.9551500000000003,robust_valid,0.8464946154753683,16.15350538452463,2.5231156511391157,0.1740788007830696,63
A_743,63,0.7778416666666665,0.9286916666666671,15.719262723851761,14.416738300485868,2.678821545534762,2.53852460051216,0.9137666666666666,0.9683166666666672,robust_valid,1.0,15.003494129832868,2.497847857164452,0.14829251113900677,56
A_853,64,0.7775000000000004,0.9933000000000005,15.760757732924258,14.647880663541532,2.5256564253879743,2.537562587267088,0.8894000000000003,0.9968166666666672,robust_valid,1.0,14.685837080465507,2.5148823472666315,0.1685996758337004,13
A_424,65,0.7768333333333334,0.8695333333333342,14.57298733062567,14.915334236368626,2.5246383441847784,2.535747631496025,0.9014666666666667,0.9385666666666675,robust_valid,1.0,14.974909605764443,2.5008244701250346,0.18535467704980824,81
A_1842,66,0.7766750000000007,0.9577249999999995,15.619242649138283,14.34532594016877,2.551154946874914,2.5415565869689543,0.9151833333333339,0.9847999999999996,robust_valid,1.0,14.606859885575991,2.5182549041556315,0.1655543481153955,38
A_807,67,0.7757583333333334,0.858991666666668,15.811249386393829,14.557392797002581,2.5181827130796814,2.535477693147563,0.9032833333333334,0.9400666666666679,robust_valid,1.0,15.434884824146485,2.4703797889933403,0.15546554633424492,84
