_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger
04c_1160,merged,20,13.0,0.65,100.0,40.0,2.5,0.5,45.0,0.18914230113647074,0.5276317154840844,0.0,0.5,47.55614765965106,14.654982107803301,nan,1.0,0.23695053823516732,19.5,0.975,0.0,2.812021531233865,0.7465120219520671,0.8869505382351673,0.14043851628310022,nan,4.616233784878745,0.053964737243750525,0.6343436407632826,0.9030012885222071,,
04c_1161,under_exposed,20,11.0,0.55,100.0,28.4,2.5,0.5,30.0,0.15987641461696822,0.4572943051057541,0.01,0.5,19.31661532045183,11.01642621122468,2.9945936935608857,0.3545625,-0.0990883193172506,7.080325837835254,0.3540162918917627,3.0144458202638527,2.812021531233865,0.28547757965895826,0.5509116806827494,0.26543410102379117,0.9818492790359329,4.616233784878745,0.023131487217776615,0.1907517770089734,0.5820525668019861,,ler_design_excess
04c_1162,robust_valid,24,13.200000000000001,0.55,120.0,44.2,1.5,1.0,30.0,0.19299954969310612,0.47039614535608154,0.02,0.5,96.1756940569687,13.345966667188435,2.7699491941688907,0.68734375,0.0657305453327428,16.51825654867077,0.6882606895279487,3.1137471475261282,2.790404311903947,0.3836659049454665,0.7157305453327428,0.33206464038727634,0.8660267876333284,4.640129641112166,0.03812064048634797,0.2946902419750548,0.7389828627061802,,
04c_1163,roughness_degraded,20,12.0,0.6,100.0,44.2,1.5,1.0,30.0,0.15927235200811393,0.4452952634709474,0.0,0.5,43.04382631554664,11.85219687494163,3.857432977472959,0.78425,0.0004321003287000025,15.574127622713315,0.7787063811356657,4.081561793083829,2.812021531233865,0.4557749761784766,0.6504321003287,0.1946571241502234,1.3575734555403405,4.616233784878745,0.04745949676678336,0.3619449115368878,0.6810288943278011,,ler_locked_max+ler_design_excess
04c_1164,merged,18,11.700000000000001,0.65,90.0,44.2,2.0,0.5,45.0,0.2060056855428162,0.4833626684787195,0.02,1.0,53.98015826191505,11.722464539233924,4.36689713179844,1.0,0.20798442466937062,17.5,0.9722222222222222,0.0,2.77500930553178,0.6967889747339064,0.8579844246693706,0.1611954499354642,3.360571546585632,4.5966538529483305,0.045461522119211305,0.5485819746869381,0.8813048890192899,,ler_locked_max+ler_design_excess
04c_1165,under_exposed,24,13.200000000000001,0.55,120.0,28.4,3.0,1.0,30.0,0.2006362340086385,0.43767547977468324,0.01,1.0,98.10180968677,13.28423456898866,3.01705180519349,0.5014930555555556,-0.05694406669273089,12.028234359719104,0.5011764316549626,2.9476967185558456,2.790404311903947,0.35398300629988344,0.5930559333072691,0.2390729270073857,0.4259426603316556,4.640129641112166,0.03350062750072878,0.279477999924878,0.6201014434764697,,ler_locked_max+ler_design_excess
04c_1166,under_exposed,18,10.799999999999999,0.6,90.0,28.4,1.5,0.8,30.0,0.15613610225516142,0.4557531527013169,0.005,0.5,75.31015214280214,10.693741723910602,4.0398119401538795,0.36261574074074077,-0.11493558542167859,6.843974802563411,0.38022082236463395,3.6373789371801037,2.8001199482964156,0.35341205519213975,0.5350644145783214,0.18165235938618168,2.0540435550158422,4.539811637792289,0.031274660035295936,0.25885245653929395,0.5705602125653328,,ler_locked_max+ler_design_excess
04c_1167,merged,24,14.399999999999999,0.6,120.0,28.4,2.5,0.8,45.0,0.164457275356613,0.6307782174401872,0.0,1.0,28.311355967471478,14.207510070100337,3.2938414263003333,1.0,0.17024124093074144,23.5,0.9791666666666666,0.0,2.777139811468949,0.6115306301198397,0.8202412409307415,0.2087106108109018,0.5776551640544441,4.656752412925492,0.03471007886123515,0.5197308643353155,0.8395767388451709,,ler_locked_max+ler_design_excess
04c_1168,under_exposed,20,10.0,0.5,100.0,28.4,3.0,0.8,45.0,0.1707582345921468,0.376244320518848,0.0,1.0,57.2061941518595,9.740313481565114,4.594153900975555,0.615875,-0.0671584246382656,12.280553939206367,0.6140276969603183,4.868139050143253,2.812021531233865,0.4342796182029814,0.5828415753617344,0.14856195715875303,0.7274365094768681,4.616233784878745,0.031648068343038814,0.3574601111970377,0.6269283364253526,,ler_locked_max+ler_design_excess
04c_1169,merged,18,9.0,0.5,90.0,44.2,3.0,0.8,45.0,0.15259534535168465,0.4767058463760011,0.01,1.0,68.30246668197476,9.02999010017388,5.312724012085953,0.9944907407407407,0.04756596641682054,17.42330114046844,0.9679611744704688,0.4313699182245137,2.812021531233865,0.5780959632090682,0.6975659664168206,0.11947000320775236,12.432463726038216,4.616233784878745,0.03287655756258016,0.4831402792105912,0.7461384281438521,,ler_locked_max+ler_design_excess+psd_mid_increase
