_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_surrogate,variation_idx,phase,yield_score_surrogate
A_844__mc001,robust_valid,24.0,12.587043818366801,0.5244601590986168,120.0,51.51392280649049,0.22779808553825415,0.43993101403838036,30.101403011471916,0.19722951725239174,0.5305151860229671,0.01012984289291158,1.3491828618571162,50.0,12.538054866793562,2.529489022790039,0.6175347222222223,0.18779400204799035,14.82758820975088,0.6178161754062866,2.540029901567343,2.775925181771137,0.19088948272754777,0.8377940020479904,0.6469045193204426,1.8890701250947477,4.55036604926028,0.01623513034450209,0.0981056618089477,0.8524812716436521,,,A_844,9.0,1,mc,0.8701749999999995
A_844__mc002,robust_valid,24.0,12.050054944150336,0.5020856226729307,120.0,47.96431623454507,0.010285129573199103,0.39375779701693736,32.330231101789494,0.1937565846198211,0.5305151860229671,0.011794804619235145,1.3491828618571162,50.0,12.122249942666782,2.572441670262685,0.5820659722222222,0.18331405422001057,13.970364867453123,0.5820985361438801,2.564455884342391,2.8151062050281928,0.15230221549988132,0.8333140542200106,0.6810118387201293,1.967199362346476,4.586778624258299,0.011751677938742522,0.07376720814708831,0.850588307850932,,,A_844,9.0,2,mc,0.8701749999999995
A_844__mc003,robust_valid,24.0,12.393039020529926,0.5163766258554136,120.0,50.48637039824352,0.0,0.45363499341704916,30.41692068028687,0.19805783876669844,0.5305151860229671,0.012263595293579285,1.3491828618571162,50.0,12.451894766228278,2.526371788689707,0.59984375,0.18043391731395042,14.4065214550747,0.6002717272947792,2.5278837295334253,2.7784697307296367,0.18005947494015812,0.8304339173139504,0.6503744423737923,1.8913260386977817,4.642364609034935,0.015153210527474746,0.0938485796131926,0.8472336895480452,,,A_844,9.0,3,mc,0.8701749999999995
A_844__mc004,robust_valid,24.0,12.17425082259745,0.5072604509415605,120.0,50.71307250789451,0.08141728920928587,0.39428620174398477,33.27456571883269,0.2078841410640811,0.5305151860229671,0.01181623789205694,1.3491828618571162,50.0,12.132780006728947,2.549157819891835,0.6205555555555555,0.22042398920848616,14.903677309716503,0.620986554571521,2.544890457601844,2.795769429260085,0.18271143653003274,0.8704239892084862,0.6877125526784534,1.9675607195863036,4.660216282242253,0.014117679138372365,0.09247472686822177,0.8854186980282517,,,A_844,9.0,4,mc,0.8701749999999995
A_844__mc005,robust_valid,24.0,12.924881773040424,0.538536740543351,120.0,47.34253783190414,0.03956838437228116,0.3992896404678987,31.729546651954355,0.20563291635348332,0.5305151860229671,0.010060385021820727,1.3491828618571162,50.0,12.715204485266334,2.5742865344078014,0.6338194444444445,0.20474316952389526,15.22559675081743,0.634399864617393,2.58673552707645,2.812512637636188,0.1963205603164516,0.8547431695238953,0.6584226092074437,1.973287240626581,4.601506766944358,0.015549471098409692,0.09806565898851292,0.8678311578485616,,,A_844,9.0,5,mc,0.8701749999999995
A_844__mc006,robust_valid,24.0,12.392693643899662,0.5163622351624859,120.0,49.073358170966756,0.1261277022064441,0.4348389969152597,33.6900627281451,0.20345456240395351,0.5305151860229671,0.010434781063657129,1.3491828618571162,50.0,12.281205775595001,2.5240758961338736,0.6369618055555556,0.21212095911597506,15.293873532256608,0.637244730510692,2.540911483777182,2.7777556393841865,0.21736112085365727,0.8621209591159751,0.6447598382623179,1.830939776623433,4.646983186545602,0.017117022649651075,0.11873380456098268,0.8776933258043993,,,A_844,9.0,6,mc,0.8701749999999995
A_844__mc007,robust_valid,24.0,12.787779103982585,0.5328241293326077,120.0,49.67810435902072,0.24304088007716879,0.4730363434209559,33.574495047646614,0.20534094690563873,0.5305151860229671,0.011186097241776157,1.3491828618571162,50.0,12.825708348990128,2.554520354123356,0.6671701388888889,0.21417916920343105,16.02454794852016,0.6676894978550066,2.6175964544910935,2.7981393726537305,0.25761059130486347,0.8641791692034311,0.6065685778985677,1.6807459003824423,4.542642295811631,0.020359268589257778,0.1468139675011464,0.8787331899499122,,,A_844,9.0,7,mc,0.8701749999999995
A_844__mc008,robust_valid,24.0,12.612954700735848,0.525539779197327,120.0,50.445398619732295,0.0,0.44659323713602606,32.80221991421555,0.2047396816188842,0.5305151860229671,0.012233595635751377,1.3491828618571162,50.0,12.662735749978562,2.522188025428246,0.6378298611111111,0.2092974355096362,15.306499947151124,0.6377708311312968,2.5396714406909506,2.768714232139537,0.2161591281089149,0.8592974355096362,0.6431383074007213,1.8186281319535365,4.544880849301149,0.017115804416333674,0.11685929173873262,0.8744978589709649,,,A_844,9.0,8,mc,0.8701749999999995
A_844__mc009,robust_valid,24.0,12.320470948149088,0.5133529561728787,120.0,48.46784928995653,0.22129247435663169,0.4706531709509327,32.90407272718482,0.19901799465735603,0.5305151860229671,0.010669620341887532,1.3491828618571162,50.0,12.262919507544787,2.5247300457876203,0.6278125,0.19436961719753,15.067143431189882,0.6277976429662451,2.5451387700489443,2.7795855538978556,0.22076810420275894,0.84436961719753,0.6236015129947711,1.7207286565563684,4.561848341457614,0.017825907198768517,0.12363627353302264,0.8615823247080745,,,A_844,9.0,9,mc,0.8701749999999995
A_844__mc010,robust_valid,24.0,12.77537260267966,0.5323071917783192,120.0,49.71148648270966,0.24071710852065625,0.3970581736061565,33.247407159959614,0.20363025791932526,0.5305151860229671,0.010122860409679206,1.3491828618571162,50.0,12.746837632611793,2.5523128575920886,0.6509548611111111,0.21898128054826083,15.619780705088482,0.6508241960453535,2.5769824085235356,2.7948468492539833,0.21437340011790582,0.8689812805482608,0.654607880430355,1.8668430224747439,4.528316415972257,0.016378820206731752,0.10968642674208734,0.8814383469588889,,,A_844,9.0,10,mc,0.8701749999999995
