recipe_id,rank_strict,strict_score_06g,yield_score_06g,p_robust_valid_06g,mean_cd_fixed_06g,mean_ler_locked_06g,mean_p_line_margin_06g,fd_label,FD_CD_final_nm,FD_CD_locked_nm,FD_LER_CD_locked_nm,FD_area_frac,FD_P_line_margin,FD_contrast,FD_psd_locked_mid,FD_CD_error_nm,yield_score_fd_nominal,strict_score_fd_nominal,FD_pass_strict,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,line_cd_ratio
G_534,15,0.6765983202417617,0.9932750000000014,0.9975000000000014,15.013527269155311,2.538872257114187,0.18095780513797394,robust_valid,16.13653640370996,12.63312612235477,2.523189070236671,0.6724479166666667,0.2592079428203806,0.7074038768331392,1.957303524846506,1.136536403709961,0.863463596290039,-0.8448072254247878,False,59.87893563229591,0.5245988667011261,0.3344970440492034,34.901051577180624,0.18685821142978964,0.5964107426814735,0.01151288190856576,1.7979914913885295,0.52
G_1470,16,0.6765305255653493,0.9755166666666676,0.9878000000000009,15.175451628623533,2.5473867139763264,0.17064477434673792,robust_valid,15.292354519738263,12.241675514810701,2.524011348979829,0.6370138888888889,0.18088645048922192,0.5850982191509104,1.5773130774642294,0.29235451973826265,1.0,1.0452216126223055,True,51.53363247402012,0.48550059646368027,0.4602647197432816,40.866520260460675,0.17337030767463146,0.5254896852187813,0.02396841360256076,0.9648023387417197,0.52
G_2374,17,0.6753804194835797,0.8415750000000005,0.9348500000000004,14.617092437186662,2.5401494229426067,0.16367147049313172,robust_valid,15.13216429068051,12.292395031988884,2.496587274924329,0.6307986111111111,0.17747144045397112,0.6625435323304818,1.767569096953451,0.13216429068051028,1.0,1.0443678601134927,True,46.53822338394821,1.372474447824061,0.349316821154207,24.533610539510846,0.18768935919739305,0.6450454883277417,0.011199572822079062,0.6015458237379789,0.52
G_590,18,0.672899003238528,0.9998000000000001,0.9998833333333335,14.655567080796793,2.5420174291542823,0.19764256255097856,robust_valid,15.090696459659677,12.593824412795176,2.521624960933824,0.6289930555555555,0.2070783952178673,0.6738904444677217,1.9187350502426317,0.09069645965967688,1.0,1.0517695988044669,True,49.234969208948314,0.43546577263623476,0.4401523142121732,27.442381256259978,0.21297040559351443,0.5782038944773376,0.010807048520073295,1.5141079421155155,0.52
G_295,19,0.6682716277346932,0.9768166666666677,0.9913500000000011,14.699173478449104,2.5354271465851905,0.16801902429156165,robust_valid,16.018801851102275,12.352876417742042,2.519271278161574,0.6673784722222222,0.1906791013951431,0.5603679520610746,1.474924881323433,1.0188018511022747,0.9811981488977253,-0.5087357779580384,False,55.8942561680451,0.5754380179569125,0.5481364463455975,33.07686921209097,0.18593018031679093,0.5241544905118645,0.008627537358552217,1.8874763250350952,0.52
G_3475,20,0.6634566338982341,0.9923000000000013,0.9963000000000014,14.917072800793983,2.539145090553281,0.18810705594859733,robust_valid,15.130424495439916,12.298625670793509,2.5194391515073815,0.6304166666666666,0.19036593868517038,0.6168098817131973,1.753179915271891,0.1304244954399163,1.0,1.0475914846712926,True,38.158132541924715,0.27501923963427544,0.4667141690850258,32.259662337601185,0.2013138731569052,0.5935464720241725,0.009663899671286344,1.1133517744019628,0.52
G_599,21,0.6623103679963299,0.9716750000000017,0.9894666666666684,14.86414068493024,2.5351828955001485,0.18639904144305974,robust_valid,14.75980837960393,12.672124277747267,2.508332852384198,0.6149479166666667,0.16733793064088154,0.6354303609284879,1.7679115019922915,0.2401916203960699,1.0,1.0418344826602204,True,47.94217657763511,0.8630671966820955,0.38625238854438065,30.682049463503063,0.20147072018124162,0.4851791176944971,0.010016533490270376,1.0683001456782222,0.52
G_4413,22,0.6599837552578904,0.99995,0.9999833333333333,14.76339302557751,2.535649901495314,0.17393230341296423,robust_valid,14.985509215977348,12.284942199789057,2.510136893537648,0.6248090277777778,0.1885609138517952,0.6493661802416676,1.7654771097470263,0.014490784022651582,1.0,1.0471402284629487,True,58.56522271502763,0.6288422271609306,0.4579819885082543,29.39901410602033,0.18923971072770654,0.5620154602453112,0.018122892435640095,1.4903425797820091,0.52
G_322,23,0.6583130102829358,0.9764333333333347,0.9889833333333347,14.742228559846092,2.5439005926476836,0.16352454372084538,robust_valid,14.151526625843596,12.42156477398512,2.5192205231548788,0.5895659722222222,0.15232455210174556,0.6234880012883949,1.7858825901382847,0.8484733741564039,1.0,-0.007338984443775287,False,48.063295246101916,0.33668836019933224,0.4018833862617612,37.40208650007844,0.1699347008764744,0.497319816891104,0.01311454209499061,1.6822075145319104,0.52
G_1744,24,0.6569235839811387,0.999875,0.9999333333333333,15.331214966673913,2.53869902562049,0.1969103678904824,robust_valid,15.158044863954938,12.511397350882467,2.5197553509919475,0.6313020833333334,0.20723484113572643,0.6476883590273779,1.8021459368885047,0.1580448639549381,1.0,1.0518087102839315,True,58.401948457583785,0.006242763251066208,0.46145198233425616,31.887378455139697,0.2058198464848101,0.4993485749699175,0.010997036285698413,1.777933151461184,0.52
G_4924,25,0.6538200145748321,0.9169416666666665,0.9638499999999999,14.929344767292083,2.535380085963671,0.16456709372962444,robust_valid,15.938361180251878,12.41329670973624,2.5011403101325946,0.6640451388888889,0.17130683518496315,0.5427470228788241,1.2880188047427006,0.9383611802518779,1.0,-0.2722568319593928,False,42.34293523337692,1.168808181770146,0.5518927287310362,30.957867419347167,0.18950295073911547,0.5884824329055846,0.008487394955009222,1.7428321451880038,0.52
