recipe_id,rank_strict,strict_score,yield_score,strict_pass_prob_proxy,p_robust_valid,p_margin_risk,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_fixed,std_cd_fixed,mean_cd_error,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_p_line_margin,std_p_line_margin,balanced_score_06j,geometry_distance_to_modeA,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,mean_area_frac,std_area_frac
J_4828,50,0.49323337861723854,0.836108333333333,0.7030342054759924,0.9266333333333331,0.03671666666666665,0.025983333333333348,0.008299999999999991,0.0023333333333333383,3.3333333333333335e-05,15.18424627320198,0.3824410098101338,0.18424627320198006,12.44309291868239,0.2836382193128052,2.536106353302122,0.018946914485477945,0.19615804934711303,0.009211073938266394,-3.859381049867564,0.0,0.0,0.0,0.7648820196202676,0.018946914485477945,0.19615804934711303,0.0,0.0,24.0,0.52,49.102788149379194,0.4490546453744173,0.4911141867749393,34.356277720071375,0.20683677635155617,0.45854970123618843,0.021319633182138205,1.7387529131956398,21.08448731712997,0.6397404157986112,0.013717254683505606
J_3235,51,0.49031169496094257,0.7602250000000003,0.7680747059157986,0.9020833333333337,0.03048333333333332,0.02,0.030933333333333347,0.016499999999999987,0.0,15.196371804325864,0.2829615922122317,0.19637180432586376,12.475093888678952,0.31391484649706675,2.558614886436821,0.06303604417236264,0.17826523703742128,0.02900386962691855,-3.3274675625057792,0.0,0.0,0.0,0.5659231844244634,0.06303604417236264,0.17826523703742128,0.0,0.0,24.0,0.52,51.61701966729015,0.42710771318525076,0.7243876193650067,36.24854498077184,0.1652693989686668,0.5987770847044885,0.01339393182657659,1.5151323545724154,93.02528908941895,0.6433292534722223,0.02431059267104135
J_2246,52,0.48639657170091816,0.8615666666666665,0.5780957465755899,0.9403666666666665,0.026799999999999997,0.023766666666666672,0.008483333333333336,0.0005666666666666663,1.6666666666666667e-05,15.367678671365102,0.3996408731400259,0.3676786713651019,13.814645096897475,0.9118983901066685,2.418090584119724,0.0085826048692842,0.11504832243567872,0.025036970349899497,-2.940752075367802,0.28571428571428575,0.0,0.0,0.7992817462800518,0.0085826048692842,0.11504832243567872,0.0,0.0,28.0,0.52,55.690236216410995,1.032322358340025,0.5250275481492281,24.50058167334646,0.1876001387182623,0.5713345856405795,0.026432825764641166,1.0569035443477333,82.8558592312038,0.551156286954365,0.007235218334351839
J_3437,53,0.4859306205088082,0.6869500000000001,0.78440869220692,0.8570833333333333,0.07429999999999998,0.025833333333333326,0.03063333333333331,0.010933333333333337,0.0012166666666666652,14.841241726871885,0.2443561206337276,0.15875827312811452,12.447775465975788,0.28765315672515746,2.526919956052316,0.01700038999558324,0.2073477445613094,0.014801802272692567,-4.382155240661624,0.0,0.0,0.0,0.4887122412674552,0.01700038999558324,0.2073477445613094,0.0,0.0,24.0,0.52,59.451686770655215,1.4262548480182886,0.3639557340182364,41.89701069146395,0.1827156814560294,0.3824194108135998,0.008290048772469163,1.0015434864908457,33.89055690262467,0.6614759535590278,0.017606554144295142
J_4981,54,0.4842633713278609,0.8697333333333329,0.4978169861612005,0.939583333333333,0.03560000000000001,0.016333333333333342,0.004016666666666668,0.0013666666666666656,0.0031000000000000003,15.455567247702644,0.423228243875622,0.45556724770264445,13.795726024743173,0.9473246934113156,2.4402023737832534,0.0022358313580858884,0.1555047901967718,0.007755801548985412,-3.4441962966082897,0.28571428571428575,0.0,0.0,0.846456487751244,0.0022358313580858884,0.1555047901967718,0.0,0.0,28.0,0.52,42.13861330412328,0.4152019126340747,0.520685912296176,27.485690410248935,0.18256908107548953,0.5726845056749881,0.01204034940339625,1.6055113920010626,94.88097904715687,0.5836235426587302,0.032868550225300254
J_313,55,0.48360821470467225,0.5306166666666664,0.7766404624713985,0.7772999999999997,0.13201666666666667,0.06856666666666665,0.016783333333333313,0.004016666666666667,0.0013166666666666654,15.24864192190385,0.08008352197028641,0.24864192190385026,12.594507527452198,0.006491310745927602,2.4304429530529505,0.002208802561223685,0.13671788515561642,0.004388109805222781,-4.103135910701169,0.5471840922751706,0.0,0.0,0.16016704394057282,0.002208802561223685,0.13671788515561642,0.0,0.0,28.0,0.45,30.922094190493226,0.32428446784615517,0.5469073524698616,29.102409915067255,0.21811775962822139,0.538659080862999,0.0008328063134104013,0.7326351166702807,17.706462643109262,0.5505416249999999,0.003099087433728604
J_3880,56,0.48138854711925866,0.5034249999999999,0.8050166666665692,0.8050166666666666,0.0568833333333333,0.04878333333333334,0.07321666666666667,0.01276666666666665,0.003333333333333331,14.935594761527227,0.05948012034363036,0.06440523847277291,11.899840936549243,0.003241943280261205,2.77122006143003,0.009592304702779633,0.1689592792571157,0.0034288391424488677,-3.8684767985795103,0.605043054257851,0.0,0.0,0.11896024068726072,0.009592304702779633,0.1689592792571157,0.0,0.0,20.0,0.6,59.09053958952427,0.11152247339487076,0.3109261921606958,33.2434664061293,0.18946402692236006,0.6464287532493472,0.028172832364216447,1.8286297111772,52.653587739914656,0.7358020604166664,0.0018357792432430536
J_2323,57,0.4777327796425543,0.5944083333333329,0.76128797416302,0.8151499999999996,0.09564999999999996,0.05421666666666668,0.021816666666666658,0.012433333333333338,0.0007333333333333327,15.262100831251164,0.1580018328750375,0.2621008312511641,10.679270649639696,0.0056859321992426826,2.555909032674816,0.0026873763058264223,0.17067986934868845,0.004920641229074373,-4.11650858918108,0.46666666666666684,0.0,0.0,0.316003665750075,0.0026873763058264223,0.17067986934868845,0.0,0.0,24.0,0.45,44.8643694659695,0.28132227156311274,0.44379382226616143,42.70745909772813,0.21290128626860677,0.38376467442139983,0.0020459029264748097,1.376467158086598,73.14792917575687,0.5974690724826385,0.006134918585385149
J_668,58,0.476295074270175,0.8150000000000006,0.6543723692916679,0.915383333333334,0.04506666666666666,0.028716666666666647,0.008333333333333342,0.002500000000000002,0.0,14.733189563343622,0.37215250369999336,0.26681043665637816,12.385914670010045,0.28014178355368324,2.5295749849446376,0.017227515898305033,0.16824534367728103,0.011398955802261634,-3.4884279011098136,0.0,0.0,0.0,0.7443050073999867,0.017227515898305033,0.16824534367728103,0.0,0.0,24.0,0.52,50.10435198806226,1.0065864874050021,0.650362918805331,21.491766492836177,0.21078440606594084,0.6402988031506538,0.019111606171354652,1.0545917442068458,34.066335312090814,0.6209703268229166,0.01584372118270947
J_3949,59,0.4762147854407587,0.5805166666666662,0.7985819862240405,0.8066999999999994,0.11024999999999997,0.032200000000000006,0.04386666666666664,0.001349999999999999,0.005633333333333334,14.816334428071496,0.13611687844907996,0.18366557192850408,10.73113341350197,0.006150866024134599,2.504462885265744,0.0013990849112023656,0.1300581587150942,0.004225281940506893,-3.7638780637314384,0.46666666666666684,0.0,0.0,0.27223375689815993,0.0013990849112023656,0.1300581587150942,0.0,0.0,24.0,0.45,37.03636348620057,2.19096976518631,0.4408250550739467,24.444489162415266,0.21735692812129856,0.5673243741504848,0.004177370192483067,1.7568802582100034,68.06232750881463,0.5879770112847228,0.005817504626730962
