recipe_id,mode,tags,strict_score_06l_direct_mean,mean_cd_fixed_06l,mean_ler_locked_06l,mean_p_line_margin_06l,g4867_normalised_distance
J_1973,mode_b,mode_b_low_margin,-2.0832457509384428,15.360716981681678,2.4667704402526063,0.1878290281999618,0.2592919449452679
J_2212,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-2.133835422853803,14.960624064178173,2.7567154008854278,0.17405554451077113,0.3113241230285925
J_3885,mode_b,mode_b_low_margin,-2.213983460208615,15.35081433281237,2.5331005762256167,0.1701317247693423,0.19563225216323438
J_2597,mode_b,mode_b_low_margin,-2.270960384425727,15.713584982515668,2.4840524182241595,0.2166257712876085,0.2374790531539799
J_3347,mode_b,mode_b_low_margin,-2.3528932848658197,15.292100786846133,2.534439005288232,0.1807310724074855,0.20386648496758136
G_1474,mode_a,cd_boundary,-2.599533664093548,15.509060444994606,2.5256766420265353,0.19717738764891554,0.23921490031210638
J_2780,mode_b,mode_b_low_margin,-2.6283955854382226,15.080121129790673,2.544002641244267,0.19750252117346956,0.25555890697629347
J_2141,mode_b,mode_b_low_margin,-2.6808440031728504,15.194151693626463,2.5269918511076805,0.1915508060889861,0.2481623995595912
J_2115,mode_b,"cd_boundary,mode_b_low_margin",-2.697211348463861,14.549814934269653,2.5367270482563584,0.16393641357715544,0.1909813359655531
J_4373,mode_b,mode_b_far_from_G4867,-2.7072880175945913,14.960373775580763,2.40159648460224,0.13455615132993765,0.3183519269929824
J_1357,mode_b,mode_b_low_margin,-2.7144215108180783,14.977869051571831,2.542903101023919,0.19407495538919042,0.27250295477050235
J_3475,mode_b,mode_b_low_margin,-2.903435883774573,15.029994224450476,2.544449251031003,0.19681844508567206,0.2893778767980367
J_2274,mode_b,mode_b_low_margin,-2.913749790516679,14.237114804879916,2.5442302199555717,0.17161220475932254,0.17226020454865598
J_537,mode_b,mode_b_far_from_G4867,-2.943997039862666,14.934761390913236,2.457375162569139,0.10947272369111935,0.31878427448551283
J_2933,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-3.0195199595614377,14.042513911184642,2.5076988596134258,0.1798415712426751,0.35009725858674656
J_2945,mode_b,mode_b_far_from_G4867,-3.0204494194980533,14.982339642087815,2.4025164890740194,0.08353830685590755,0.3556131916316682
J_1717,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-3.202943991252647,15.29656946976545,2.4400794191231268,0.1596409272002833,0.3183520015081037
J_4365,mode_b,mode_b_low_margin,-3.2050474128769166,14.915232622937483,2.538635589198813,0.17484274282877343,0.201456451812719
J_1412,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-3.346782793504476,15.092042841684068,2.7866033544150173,0.1635217979641036,0.31406290344504806
J_2002,mode_b,mode_b_low_margin,-3.353726041952561,14.447533185234988,2.5212188611297917,0.1710449417814605,0.25701461945914333
J_2357,mode_b,cd_boundary,-3.426177354789074,15.51072346908449,2.460519392062432,0.12386032173161439,0.2888954300860006
J_1229,mode_b,mode_b_low_margin,-3.450665214062669,15.259709857361967,2.5378939460027716,0.18182190130779452,0.278209838827066
J_4341,mode_b,mode_b_far_from_G4867,-3.514478300927053,15.385494344252011,2.4008164107062453,0.1405444614700176,0.3599767009557482
J_188,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-3.5441767050191606,15.034409024954707,2.563736167867788,0.1625259541458673,0.3291752176369033
J_1469,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-3.5495047032007414,14.84839416524439,2.4032436848231113,0.1634049651637076,0.32556640247503926
J_668,mode_b,mode_b_low_margin,-3.605006561303676,14.752222303913682,2.5347800777542235,0.17111410528772153,0.22725775040361884
J_2965,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-3.6078245877185076,14.674313165095809,2.4616661683460994,0.18183894411364512,0.3285890073950488
J_2773,mode_b,mode_b_far_from_G4867,-3.7194915957014882,14.981196240462031,2.392569193328721,0.14644348837874324,0.32356412541288154
J_1898,mode_b,mode_b_far_from_G4867,-3.7310265216621006,14.993613464837614,2.4715507621999393,0.1312470066397864,0.35310282636369245
J_1333,mode_b,mode_b_far_from_G4867,-3.7690646747980043,16.14105651579002,2.3994387360114824,0.08519208041801074,0.41157763061601504
J_1418,mode_b,mode_b_far_from_G4867,-3.8036691713456836,16.210665845740902,2.4500830932652686,0.13520253705777782,0.3016017782305893
J_3235,mode_b,mode_b_low_margin,-3.803959022004577,15.226878815266923,2.549431301530431,0.1722825877886531,0.2532877990138635
J_4828,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-3.8792672518058753,15.070690092471745,2.5354777212499715,0.1824563728326505,0.30614234416735314
