list,rank_within_list,recipe_id,rank_strict,strict_score,yield_score,strict_pass_prob_proxy,p_robust_valid,p_margin_risk,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_fixed,std_cd_fixed,mean_cd_error,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_p_line_margin,std_p_line_margin,balanced_score_06j,geometry_distance_to_modeA,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,mean_area_frac,std_area_frac
margin_top,48,J_337,4211,-16.853959934396364,-4.3372806290721,0.0,0.9723666666666663,0.012433333333333331,0.001033333333333332,0.013516666666666668,0.0006499999999999994,0.0,21.2733556290721,0.52079920229953,6.2733556290721,16.621373610221095,0.01566685323093172,2.3953158742087233,0.00804048581625545,0.21940559211036365,0.004925496467299078,-1.7676306322605149,0.5714285714285714,11.5467112581442,0.0,1.04159840459906,0.00804048581625545,0.21940559211036365,5.2733556290721,0.0,32.0,0.52,45.40312946587801,0.5373260490596294,0.5044864189811051,41.90820563118905,0.21149665351957084,0.5910841954872013,0.021624917825683952,1.1170387556776404,29.929551756940782,0.6369904814453126,0.005556857805716705
margin_top,49,J_1406,4893,-30.25056153256908,-9.405668635014969,0.0,0.71435,0.0027000000000000014,0.004433333333333329,0.27299999999999985,0.005516666666666669,0.0,25.555526968348303,0.28750943186757183,10.555526968348303,19.094662944874052,0.012991841440466676,2.4039908265774925,0.0023387629059598834,0.2193594098521829,0.013634304715556643,-0.19360545900112025,0.7816489344260262,20.111053936696607,0.0,0.5750188637351437,0.0023387629059598834,0.2193594098521829,9.555526968348303,0.0,32.0,0.6,59.85707385465503,1.6437254576012492,0.521226129680872,42.52256160136312,0.2096059582568705,0.5383037792518734,0.018834151178598404,1.1951696421019733,95.00027609989047,0.7763701347656249,0.02058939622007332
margin_top,50,J_4506,4546,-21.240428516509706,-7.184827041462098,0.0,0.28514999999999996,0.003283333333333336,0.0019833333333333348,0.7049000000000002,0.004683333333333333,0.0,22.047543708128764,0.4978013395164318,7.047543708128764,16.719515109171383,0.01928862260429038,2.6073079573556095,0.035091538947318764,0.21933220080003757,0.006493871309944107,0.5519274301504669,0.605043054257851,13.095087416257527,0.0,0.9956026790328636,0.035091538947318764,0.21933220080003757,6.047543708128764,0.0,28.0,0.6,50.356237499043345,2.2573162810876966,0.6040385683998466,32.87687316071242,0.19630436518229544,0.5445586523972452,0.0015850014332681893,0.9580317181535065,50.18520987126976,0.9094110234375001,0.03243008529122571
margin_top,51,J_1198,4820,-26.929153632153962,-8.873822877078405,0.0,0.41544999999999993,0.01595,0.02109999999999999,0.5207500000000002,0.026749999999999982,0.0,24.157472877078405,0.2937455582838526,9.157472877078405,19.09244721016389,0.00531597580124704,2.4248024033152826,0.0027703151842481603,0.2189828598289167,0.0023511726678523874,-0.11937709735119073,0.7816489344260262,17.31494575415681,0.0,0.5874911165677053,0.0027703151842481603,0.2189828598289167,8.157472877078405,0.0,32.0,0.6,47.828309984877706,1.6385047808289528,0.7577446873299778,39.69468239694834,0.18108595522120594,0.47011582991108297,0.006285779820755124,1.4036685391329229,84.34090694412589,0.8527614020182287,0.006721388538122112
margin_top,52,J_222,3670,-13.340803832331407,-3.4242584633267694,0.0,0.8960499999999996,0.014699999999999993,0.010450000000000008,0.07009999999999995,0.005366666666666665,0.003333333333333331,20.13380846332677,0.2027462169810681,5.133808463326769,19.092266442510454,0.021189445898160724,2.4081823950201953,0.001842851694332174,0.21895680190854214,0.00580224510455417,-2.9927603231894406,0.7816489344260262,9.267616926653538,0.0,0.4054924339621362,0.001842851694332174,0.21895680190854214,4.133808463326769,0.0,32.0,0.6,52.56713380571455,0.31839212123304605,0.6220556867308915,25.13709052465856,0.1902828373853117,0.6277248822152615,0.021977327903732656,1.0891420664265752,72.01988782268018,0.7856638362630204,0.008641707643385317
margin_top,53,J_4006,4487,-20.067271480188523,-6.452323716675419,0.0,0.4401333333333334,0.019566666666666642,0.08003333333333332,0.3897666666666666,0.06848333333333334,0.002016666666666666,21.83429871667542,0.4995747112465836,6.83429871667542,19.066105233941745,0.011167691276678571,2.413342975282076,0.0028559874376274073,0.21860949921253386,0.0021922944749681417,-0.5575232219648376,0.7816489344260262,12.66859743335084,0.0,0.9991494224931672,0.0028559874376274073,0.21860949921253386,5.83429871667542,0.0,32.0,0.6,47.496180295944214,2.4485593792051077,0.5608296261169017,34.236969384364784,0.15428318361751736,0.45609735529869794,0.006379522997885943,1.1469518402591348,45.56282464414835,0.8450389430338536,0.006846482396534903
margin_top,54,J_4602,3734,-13.740168398243993,-4.097307795609952,0.0,0.6134166666666667,0.012999999999999994,0.003016666666666665,0.3639,0.00666666666666667,0.0,19.960391128943286,0.2754402743286101,4.960391128943286,16.788946096883848,0.006031865540110543,2.5274938745179094,0.002336155143365995,0.21812002861128726,0.0017076058210012024,-2.049285373462821,0.605043054257851,8.920782257886572,0.0,0.5508805486572202,0.002336155143365995,0.21812002861128726,3.960391128943286,0.0,28.0,0.6,47.93351082969457,1.9522910015657544,0.4286090691573918,26.871323054656386,0.2186480352282524,0.489885647688061,0.00801693219691515,0.9935551108792424,58.309658891521394,0.8129428686755944,0.002886382993799255
margin_top,55,J_3772,4137,-16.35616092431316,-4.669610982030923,0.0,0.7767499999999994,0.003333333333333331,0.0001,0.2175166666666666,0.00201666666666667,0.00028333333333333335,21.005585982030922,0.22643878094086428,6.005585982030922,14.292270460837253,0.010988634321696186,2.6633839491753077,0.0067153734512479055,0.21767395778440124,0.00345699811187374,-1.7624202157197932,0.5333333333333332,11.011171964061845,0.0,0.45287756188172856,0.0067153734512479055,0.21767395778440124,5.005585982030922,0.0,24.0,0.6,54.90765529498458,0.4059897596016526,0.3206306097097695,40.6643836107105,0.20581230683252216,0.5590004678815603,0.006492335814982653,1.7962830374017358,38.67431796621531,0.881719397569445,0.007973272422931284
margin_top,56,J_2554,3773,-13.935398703306447,-4.031645801545071,0.0,0.656916666666667,0.0003333333333333333,0.0005499999999999996,0.3399333333333335,0.002266666666666671,0.0,20.004029134878405,0.44714999173625974,5.0040291348784045,16.74509561999385,0.007909934839202763,2.528776590330668,0.005891026284000361,0.2176034914947727,0.003927949336034009,-1.5716079104035081,0.605043054257851,9.008058269756809,0.0,0.8942999834725195,0.005891026284000361,0.2176034914947727,4.0040291348784045,0.0,28.0,0.6,52.292435836046934,1.799421957693994,0.3651827319525182,30.076099005527794,0.1853444383479655,0.5280409479513765,0.005716573186218738,1.3341918322257698,74.29747333750129,0.807483350446428,0.010119095765063882
margin_top,57,J_918,4269,-17.35228309145098,-4.7436154077194965,0.0,0.8800666666666663,0.031849999999999996,0.01628333333333331,0.06711666666666663,0.0031833333333333353,0.0015,21.431682074386163,0.2982140077793176,6.431682074386163,19.048746932273804,0.007200647495038653,2.4109282217601256,0.0027255755360187407,0.21709304235268723,0.009649885483054064,-2.1670872910434964,0.7816489344260262,11.863364148772327,0.0,0.5964280155586352,0.0027255755360187407,0.21709304235268723,5.431682074386163,0.0,32.0,0.6,46.60526114422828,0.14846812561154366,0.5364450138993562,40.48723539337516,0.18678629723377527,0.5323793858289718,0.025547226006165148,1.6687175524421036,35.16287271399051,0.75629198860677,0.01319279153912946
margin_top,58,J_3021,1134,-3.014244584921426,0.18487698356592264,0.00020666081642364375,0.9540000000000005,0.015666666666666648,0.007866666666666675,0.02126666666666664,0.0011999999999999988,0.0,16.701223016434078,0.34135794542769604,1.7012230164340778,12.401707558358304,0.2811018429021012,2.529352854323202,0.01898861964039918,0.2167068785148095,0.009035399177482504,-3.6741463942014034,0.0,2.4024460328681556,0.0,0.6827158908553921,0.01898861964039918,0.2167068785148095,0.7012230164340778,0.0,24.0,0.52,44.354340417310596,1.099863558076322,0.316452815849334,43.066986934281886,0.20323179518803955,0.5748730317689479,0.014570458559319377,1.4544653659686446,64.81279974803329,0.6588992374131943,0.011270266168868177
margin_top,59,J_2302,3357,-11.817994210289127,-3.1056231518322672,0.0,0.8109500000000002,0.017533333333333328,0.022199999999999984,0.14379999999999993,0.0029833333333333318,0.0025333333333333354,19.5637314851656,0.13788051180109892,4.563731485165601,19.13973469150553,0.027312703188040945,2.4172226990086254,0.0023748024852021355,0.21663929967216647,0.0037309416202925367,-3.1828332946974673,0.7816489344260262,8.127462970331202,0.0,0.27576102360219784,0.0023748024852021355,0.21663929967216647,3.563731485165601,0.0,32.0,0.6,51.10480907186866,0.5806622374802828,0.6997371215373278,27.437155628576875,0.19671174840070307,0.4883362646214664,0.016902811294421553,0.7414784408174455,45.52004424389452,0.8076637789713539,0.009236267186162838
margin_top,60,J_4246,4631,-22.274209033447914,-6.377242571841088,0.0,0.8801999999999994,0.019816666666666646,0.019199999999999984,0.07674999999999998,0.0030833333333333346,0.0009499999999999989,23.048159238507754,0.3528423850070884,8.048159238507754,19.192570624456703,0.014231663206538257,2.4156519581895655,0.003919787318707715,0.21661717630050006,0.011134420041697074,-1.3125441999818104,0.7816489344260262,15.096318477015508,0.0,0.7056847700141768,0.003919787318707715,0.21661717630050006,7.048159238507754,0.0,32.0,0.6,34.587983320467174,0.6671569012105465,0.6651439999230206,40.33512580674142,0.20506748355925083,0.6452909411862493,0.010670747766271233,1.6114231483079493,41.516415756195784,0.7610841542968757,0.013931295707921294
margin_top,61,J_985,2928,-9.802403433585102,-2.165086997422547,0.0,0.9287833333333333,0.005266666666666666,0.00039999999999999996,0.05911666666666664,0.006433333333333334,0.0,18.962553664089214,0.25962478938129885,3.9625536640892136,12.627915545528486,0.029415289675325244,2.394044163092886,0.013393382327803852,0.2164494902442934,0.002269584628787948,-3.228140734004466,0.5471840922751706,6.925107328178427,0.0,0.5192495787625977,0.013393382327803852,0.2164494902442934,2.9625536640892136,0.0,28.0,0.45,57.02590113412589,1.7674801368266344,0.5094015162438155,37.85497749224305,0.2041741232946515,0.6417847958393395,0.006103724744170904,0.5742400279268622,59.25274334847927,0.678092182663691,0.018753826793540034
margin_top,62,J_2382,4265,-17.318376846169915,-4.615850323543611,1.7779328159828185e-09,0.8359333333333331,0.014199999999999982,0.013116666666666667,0.12925000000000003,0.006550000000000003,0.0009499999999999989,21.14727532354361,0.9614303292152381,6.14727532354361,19.065232752578257,0.007632930861721808,2.4150311186972035,0.0013017365920319887,0.21642128788867931,0.0022753469591744054,-0.3171238995826302,0.7816489344260262,11.29455064708722,0.0,1.9228606584304762,0.0013017365920319887,0.21642128788867931,5.14727532354361,0.0,32.0,0.6,59.22931937221438,0.9386655958369374,0.5768605630844832,36.273059882223606,0.1721128100156784,0.46429282762110236,0.00899750112555921,1.810935154557228,62.90153025183827,0.8002874807942709,0.008883671989901313
margin_top,63,J_4988,4766,-25.150565636929233,-8.998155829849786,0.0,0.09951666666666664,0.00016666666666666666,0.0025333333333333345,0.8939166666666668,0.0038666666666666684,0.0,23.29888916318312,0.09017536828353245,8.29888916318312,14.346439218722537,0.02086202336618192,2.8278988999511405,0.037078416244459934,0.21633238277022251,0.003438064849213385,0.784843881361708,0.5333333333333332,15.597778326366239,0.0,0.1803507365670649,0.037078416244459934,0.21633238277022251,7.298889163183119,0.0,24.0,0.6,55.649904624558985,2.7758350828662515,0.49877428049221634,42.39665074739605,0.19775455920025706,0.593617210816592,0.002001885361969471,0.590242859441787,81.20936142746359,0.9581284388020828,0.007726572678671916
