recipe_id,rank_strict_06g,strict_score_06g,yield_score_06g,strict_score_06h,yield_score_06h,p_robust_valid_06h,mean_cd_fixed_06h,std_cd_fixed_06h,mean_ler_locked_06h,std_ler_locked_06h,mean_p_line_margin_06h,rank_strict_06h
G_1163,14,0.6779297467790131,0.9664500000000018,0.7709906597594792,0.9886416666666681,0.9955000000000014,15.237411412905706,0.25749239541164565,2.5399246852719495,0.018425254492360474,0.19621606300254796,2
G_534,15,0.6765983202417617,0.9932750000000014,0.057661101773176016,1.0,1.0,15.716894365295365,0.33759758072378615,2.538824815556572,0.018172192081570414,0.2201114976953747,76
G_1470,16,0.6765305255653493,0.9755166666666676,0.7468670054649112,0.995600000000001,0.9977833333333344,15.234246169045004,0.2883247995311396,2.5370327810092075,0.01761939110016248,0.19360600218452434,4
G_2374,17,0.6753804194835797,0.8415750000000005,0.6069606364142173,0.9492750000000009,0.9783000000000008,15.08403964061852,0.38001063473277247,2.527418053043161,0.017489855322988048,0.18576479523393136,30
G_590,18,0.672899003238528,0.9998000000000001,0.7377315934252486,0.9988250000000001,0.9995000000000002,15.03964646349995,0.2994271447473483,2.540291514982131,0.01857167498591063,0.1904783026622083,6
G_295,19,0.6682716277346932,0.9768166666666677,0.35116281549376055,0.9974166666666674,0.9989666666666673,15.60444837164013,0.37135821321068196,2.5373830357166742,0.018574708867818857,0.19094732556829677,70
G_3475,20,0.6634566338982341,0.9923000000000013,0.6252155822692285,0.9885916666666683,0.9947666666666684,14.912498273044443,0.40123852327705867,2.539123080249472,0.019525231716583675,0.19050021895164262,25
G_599,21,0.6623103679963299,0.9716750000000017,0.5594387975443856,0.9902333333333344,0.9959666666666677,15.171493783564625,0.47002795326323804,2.5295432014265895,0.019125840577540878,0.19518535105223905,47
G_4413,22,0.6599837552578904,0.99995,0.6644337801881698,1.0,1.0,15.01671685323116,0.37565080986531174,2.5382173766460165,0.017947351111759692,0.19623306243744534,19
G_322,23,0.6583130102829358,0.9764333333333347,0.7648977706450862,0.9847333333333332,0.9934999999999999,14.66921819556017,0.25793988937144147,2.539587271151427,0.01863176383097103,0.18968083439472017,3
G_1744,24,0.6569235839811387,0.999875,0.5226435488585068,0.9945000000000026,0.996333333333336,15.451572135079207,0.5149409524113822,2.541510126910693,0.018154888682390003,0.20864778244432544,55
G_4924,25,0.6538200145748321,0.9169416666666665,0.18832336237726227,0.9672416666666677,0.9849833333333343,15.667992720634517,0.3117896423431585,2.5208092151032764,0.017527006195244443,0.18245201221970897,73
G_2041,26,0.6530722944910082,0.9288833333333328,0.6360067087397209,0.9387249999999995,0.9742499999999995,14.990068442135284,0.338288000170305,2.537366694100247,0.018960070791836644,0.18019897722377926,23
G_3157,27,0.6500938788588287,0.9997916666666667,0.5673934930736658,0.9998583333333333,0.9999333333333333,14.446599705119354,0.30995165393962787,2.5400476395314144,0.018147396288284972,0.18704558586416367,43
