recipe_id,mode,strict_score_06l_eval,strict_score_06l_direct_mean,strict_score_06l_direct_std,yield_score_06l,p_robust_valid_06l,mean_cd_fixed_06l,std_cd_fixed_06l,mean_ler_locked_06l,std_ler_locked_06l,mean_p_line_margin_06l,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
G_1888,mode_a,-1.1815057292506614,-1.8494303703727812,0.8280001554213516,0.8766607608538152,0.9963500000000016,16.116689239146186,0.3671173951260156,2.5249877454320258,0.019183710200923337,0.20768495365749465,24.0,0.52,52.385372263379395,1.2285606432706118,0.3857823882251978,40.59887733776122,0.1819080433063209,0.47130478667095305,0.020779535751789806,1.0924215405248106,50.0
G_4817,mode_a,0.03797450328990198,-0.2692851418469518,0.6769041905069614,0.9829250000000009,0.9901833333333343,15.731424779337853,0.2896840929160227,2.5361672035730662,0.020353501014333603,0.19673873890660343,24.0,0.52,50.473531250841916,0.7732260162010789,0.5119583203457296,36.381612280383706,0.2038451361749321,0.5579574096016586,0.027398034799844026,0.7712589222937822,50.0
G_2135,mode_a,0.6607102776087617,-0.2304242740284863,0.2354150924585889,0.9910750000000008,0.9963333333333341,15.050308094564912,0.37419128015769787,2.5445757952877353,0.01738508815724143,0.21007640738031796,24.0,0.52,57.0824144622311,0.6313586113974452,0.335250810906291,27.15735498815775,0.2151988068316132,0.6414810135960579,0.023077053995803,1.9103419152088463,50.0
G_3178,mode_a,0.49826113916251624,0.018986848609506654,0.43201956197415353,0.9279166666666674,0.962583333333334,15.123642633972405,0.46523840022678675,2.5314514486097273,0.017991480443858468,0.17831445177825944,24.0,0.52,40.77536926511675,0.8292809380218387,0.5779830773361028,32.20741583965719,0.17949000089429318,0.5194190574809909,0.008104345668107272,0.8284591319970787,50.0
G_2918,mode_a,0.6491231125644429,-0.05660639943682533,0.5293418762108403,0.9239833333333342,0.9581666666666675,15.12469907220768,0.31464546845575403,2.5459804423338275,0.018437182682075542,0.19601535611160187,24.0,0.52,58.610700021497905,0.4716150239109993,0.5435169755481184,28.223199378699064,0.21449448849074543,0.5731111750006675,0.02804349903948605,1.636698574759066,50.0
G_829,mode_a,-1.4815455875034247,-1.2016667550216145,1.0436079840526746,0.8018914185289502,0.9997500000000002,16.19745858147105,0.4271278879606339,2.511315618577108,0.020895619741118265,0.19622341896367462,24.0,0.52,51.34562652558088,1.3784426115453243,0.4245232820510864,31.817496502771974,0.19978442125953733,0.523987567704171,0.011926030134782195,1.6099729086272418,50.0
G_475,mode_a,0.5385895821301594,-0.6130014991379245,0.7484849010824026,0.9671000000000004,0.9871166666666672,15.01408374516564,0.4616836945953553,2.5279221481429293,0.01804700722901931,0.16878712136009597,24.0,0.52,55.59640115685761,0.9801104413345456,0.5973178890533746,25.20179714076221,0.19822691451758145,0.6278362349607051,0.01350834958255291,1.9500758703798056,50.0
G_1477,mode_a,-1.2174398174206817,-0.9954076985856264,1.1238795446651986,0.9174989768517993,0.9997333333333336,16.0818760231482,0.5116236468676447,2.531659644824494,0.019697404512090982,0.20114240459044347,24.0,0.52,58.32304389216006,1.0029852837324142,0.4458329949527979,36.30051168613136,0.1655849633272737,0.4831423666328192,0.012102900417521595,1.1747385477647185,50.0
G_891,mode_a,0.710920456140977,0.11400214400128085,0.4959268184412702,0.9827000000000017,0.9939500000000016,15.328128783167722,0.31239565687235066,2.5399342593708645,0.019119259048534277,0.2007029701503727,24.0,0.52,56.558641182258725,0.528383418917656,0.41364023899659513,42.777205891907215,0.18078926685266197,0.5116545440629124,0.02513130750507116,1.745267339516431,50.0
G_3663,mode_a,-1.7730219799444578,-1.401195723847121,1.146596245981208,0.682015637406813,0.9999166666666668,16.317784362593187,0.36261901097148674,2.5271939403878165,0.019086939702748985,0.2107743546318595,24.0,0.52,55.128630886785686,1.0323446849361062,0.37990804826840757,37.10367996711284,0.18646292052231728,0.5466429743915796,0.015800141310319305,1.7972527970559895,50.0
