recipe_id,rank_surrogate,yield_score_06c,yield_score_06a,fd_label,CD_final_nm,CD_error_nm,LER_CD_locked_nm,P_line_margin_fd,area_frac_fd,defect_indicator,nominal_pareto_rank,nominal_crowding_distance,balanced_score,balanced_rank,cd_only_rank,ler_only_rank,yield_score_rank_06c,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
D_884,17,0.992000000000001,-0.7055675672511679,robust_valid,15.566297592440474,0.5662975924404741,2.531972947314206,0.25173888830921576,0.6483333333333333,0,1,0.30501698946708056,-0.7617173102225888,41,40,88,17,24.0,0.52,49.98298026714474,0.30746882781386375,0.3140278860926628,37.334829131141305,0.18873959445394575,0.6001736952923238,0.013619013978168368,1.7669601729139686,50.0
D_2413,18,0.9917750000000014,-0.35125643309365895,robust_valid,15.963324930932103,0.963324930932103,2.5247983475777582,0.2328954281222887,0.6652430555555555,0,2,0.1414959339138218,-0.15056424243090882,57,68,75,18,24.0,0.52,53.20566984079778,0.062324951402843,0.4875574421137571,37.67743683885783,0.18601450157351793,0.6202331117354334,0.021732126418501137,1.4818818350322545,50.0
D_703,19,0.9916416666666683,0.7939416666666667,robust_valid,13.502788620193723,1.4972113798062772,2.5262679938518424,0.1278929562123733,0.5623784722222223,0,6,inf,3.410801332468709,97,88,79,19,24.0,0.52,49.1897296635434,0.027078422717750072,0.4404925496317446,28.278675749897957,0.18317157929763198,0.49873573407530786,0.007117841932922602,0.7702709515579045,50.0
D_3715,20,0.9885083333333342,0.8130738186981297,robust_valid,14.696784162725416,0.3032158372745837,2.5181790750826853,0.17571739825491972,0.6121527777777778,0,3,0.09034998187942815,-0.2945257830245576,52,25,53,20,24.0,0.52,50.664049490354955,0.9182706819847226,0.3454134764149785,28.259433321654797,0.1929865100700408,0.55074652004987,0.019301321106031537,0.6340487375855446,50.0
D_1214,21,0.988200000000002,-0.22486785945039567,robust_valid,14.91332226831831,0.08667773168168935,2.526452581731231,0.2089771598698329,0.6214236111111111,0,2,0.15060407874544482,-0.8863520474681887,34,6,80,21,24.0,0.52,49.87775951810181,0.036023964174091816,0.3772514222189784,36.83091053273529,0.17410944811068474,0.5784630939364434,0.01452896224334836,1.3216914250515401,50.0
D_665,22,0.9876416666666674,0.5583257305338639,robust_valid,15.852403011054943,0.8524030110549425,2.51457744076592,0.20347091385954263,0.6606076388888888,0,2,0.18866561812640942,-0.3277599241808945,51,60,39,22,24.0,0.52,50.73750756215304,0.5445460332557559,0.5550958315841854,29.319834085181355,0.21286699164658784,0.5655178725719452,0.015431931987404822,1.1146795614622533,50.0
D_4521,23,0.9874666666666669,0.6764558920405137,robust_valid,14.530252218591617,0.46974778140838325,2.530941389405794,0.18354571176314072,0.6052083333333333,0,4,inf,0.6834841237366237,76,33,87,23,24.0,0.52,47.09068795200437,0.4495633263140917,0.3915287984535098,27.450293889269233,0.21024967096745967,0.5471646559424699,0.015594903202727436,0.6069082287140191,50.0
D_3261,24,0.9873083333333363,-0.004476411864987928,robust_valid,15.953280140165717,0.9532801401657167,2.5082187383793313,0.23162126127695293,0.6649131944444444,0,2,0.10766784078596234,-1.3009048575487294,23,67,27,24,24.0,0.52,57.2322229295969,0.77948631439358,0.398535624332726,32.130822287872434,0.18171229345723985,0.6330900370143354,0.018185812225565312,1.2583624515682459,50.0
D_333,25,0.9868416666666683,0.002407466752213483,robust_valid,15.282177403978347,0.2821774039783467,2.5147188678513555,0.2212069583571311,0.6369097222222222,0,1,0.15640525562304708,-1.6904569817020478,9,22,41,25,24.0,0.52,54.0354684535414,0.5905027147382498,0.3256222439929843,39.53690014779568,0.19474596517160536,0.48823243295773866,0.018135907435789703,1.695853357668966,50.0
D_3572,26,0.9864250000000023,-1.9319561138280879,robust_valid,17.6295219449081,2.629521944908099,2.5299198866113697,0.2594976759857873,0.7342534722222223,0,2,inf,2.2923487144665886,88,98,86,26,24.0,0.52,56.064394005574286,0.19992093835026026,0.4769609237089753,38.97149854339659,0.1819961553160101,0.6212070397101344,0.012355507649481297,1.13753590779379,50.0
D_491,27,0.986241666666668,0.6242093826892169,robust_valid,15.617301702368986,0.6173017023689855,2.5168747907332714,0.18231082385266784,0.6503472222222222,0,2,0.20804505566098713,-0.03234261251827114,60,45,46,27,24.0,0.52,51.231903112493455,0.512689171358943,0.5242713659070433,30.886637214571238,0.19228571258485316,0.5219774814322591,0.005860399017110466,0.7979915202595294,50.0
D_366,28,0.9859833333333344,0.41346459275159,robust_valid,15.300642563464189,0.30064256346418894,2.506475035525292,0.17303795662544086,0.6373263888888889,0,2,0.3961529721833524,-1.0554104456620639,30,24,24,28,24.0,0.52,40.992868300527334,0.805999799631536,0.5304208874702454,29.901939099654555,0.19604837901890276,0.600763563066721,0.01050570166669786,1.50054416898638,50.0
D_2118,29,0.9856000000000003,0.8369333333333329,robust_valid,15.672845467789845,0.6728454677898448,2.4995155359770713,0.2070601210901971,0.6532118055555556,0,1,0.12665814314236218,-1.7694332828400816,4,50,13,29,24.0,0.52,59.57106167636812,0.8598314635455608,0.47495640181005,32.45539686642587,0.19458033657632767,0.5571890600956977,0.022340343743562696,1.917053465731442,50.0
D_3980,30,0.984716666666668,0.8391416666666663,robust_valid,15.045495408932606,0.04549540893260584,2.498929376888845,0.15935411420973644,0.6272222222222222,0,1,0.26078774598225196,-1.6684330371168345,10,4,12,30,24.0,0.52,59.78934307862073,0.9426943408325315,0.5366959126666189,29.6008739201352,0.18241894849576057,0.5460093500092625,0.02079301712103188,1.4718873570673168,50.0
D_310,31,0.983683333333334,-0.33061589100194577,robust_valid,16.839197176664367,1.839197176664367,2.5066220788409876,0.27079689832173626,0.7015798611111111,0,1,0.19295447385025455,-0.9208929723901893,33,94,25,31,24.0,0.52,58.12526217196137,0.9199784779921174,0.33359766118228434,33.404580554924905,0.2125670304801315,0.575817883759737,0.01176241898909211,1.836588649544865,50.0
D_4995,32,0.9835583333333352,0.9076416666666668,robust_valid,15.875190574849444,0.8751905748494444,2.4974109256242647,0.2058230282785507,0.6615625,0,1,0.14274865388773544,-1.5545550684998597,15,63,8,32,24.0,0.52,38.26231547445059,1.0507774511352181,0.39226807625964283,33.565701292827725,0.19691144272685052,0.6050733778625728,0.010535788061097263,0.9123261934146285,50.0
D_1178,33,0.9830166666666676,0.8969500000000004,robust_valid,14.479071941048835,0.5209280589511653,2.4987617861189326,0.13266228954676973,0.6030208333333333,0,3,inf,-0.24313606774952468,53,37,10,33,24.0,0.52,47.8019116781652,0.9517217706888914,0.519553048722446,27.820883416570723,0.19024431952275336,0.5289291435852647,0.012415402382612227,1.1169261350296438,50.0
D_3439,34,0.9825750000000015,0.1010398513127082,robust_valid,16.203838324147164,1.2038383241471635,2.504330305848569,0.24732889374353584,0.6747395833333333,0,1,0.2485372788565376,-1.5487192458103454,16,76,20,34,24.0,0.52,55.771613482385874,0.6745761539787054,0.42477962160483,36.871012235060334,0.21294970870949329,0.5561632157303393,0.025390181019902227,1.839338710065931,50.0
D_3751,35,0.9825333333333354,0.2578913502117349,robust_valid,15.168941426118362,0.16894142611836216,2.5174261484760345,0.21677394683949158,0.6318576388888889,0,1,0.14034147683787063,-1.5772304015439496,13,10,48,35,24.0,0.52,52.81576875317842,0.3339709024876356,0.42625363934785127,36.491450695320964,0.17357026192359626,0.6325252227485181,0.02141543942503631,1.9272492602467537,50.0
D_4800,36,0.9823250000000017,-1.3883468550693898,robust_valid,16.472560129309993,1.4725601293099935,2.5162886542471528,0.2703584439262674,0.6856944444444445,0,1,0.3236450816912775,-0.8330204831320671,36,87,43,36,24.0,0.52,51.5475283479318,0.7375457771122456,0.30260659027844666,38.55630963109434,0.19090433161705733,0.626136139407754,0.017187402416020632,1.2050436553545296,50.0
D_1838,37,0.9822833333333362,0.8268500000000003,robust_valid,14.64749267394165,0.35250732605834934,2.5218127040091405,0.17659821527845865,0.6099305555555555,0,3,0.09802846087386388,0.020148883568620046,62,27,67,37,24.0,0.52,59.07340517453849,0.5242077810689807,0.41718939477577804,26.678059929981828,0.19500747112557293,0.5108471178449691,0.0046972926333546635,1.7532623200677335,50.0
D_3809,38,0.9811750000000008,0.8659833333333327,robust_valid,15.271500672838034,0.2715006728380338,2.5100539608474604,0.19696902021864848,0.6363541666666667,0,1,0.13280091245341846,-1.4400248709159265,18,19,30,38,24.0,0.52,56.191487247124314,0.9593961518257856,0.43719055149704217,23.16172179300338,0.20125656444579362,0.6264442548155784,0.00950927272439003,1.5138720599934459,50.0
D_547,39,0.9811083333333341,0.7926999999999997,robust_valid,14.313805192997483,0.6861948070025168,2.5464726935898083,0.1910193041539029,0.5964409722222223,0,4,inf,1.9468003137900574,86,51,97,39,24.0,0.52,57.95948317833245,0.16773574613034725,0.3265273507684469,30.488764941692352,0.16165674379095435,0.5893306641839444,0.010790954288095235,0.7217996949329972,50.0
D_2680,40,0.9801666666666685,0.7292076412073031,robust_valid,15.210599795063356,0.2105997950633558,2.5062913437808483,0.1668977799086947,0.6335243055555555,0,1,0.13573909243372448,-1.0652901155092955,28,13,22,40,24.0,0.52,53.037449528463185,0.8144761249423027,0.5434143777936697,28.508565556257963,0.17126579411327839,0.6242985233664513,0.0151432148180902,1.099623474292457,50.0
