recipe_id,mode,recipe_family,source_stage,time_offset_s,n_fd_rows,FD_strict_pass_prob,predicted_strict_pass_prob,strict_pass_residual,CD_error_residual,LER_residual,margin_residual,FD_mean_cd_error,FD_mean_ler,FD_mean_margin,pred_mean_cd_error,pred_mean_ler,pred_mean_margin,false_pass_flag,hard_fail_flag,geometry_match_mode_a_flag,chemistry_knob_signature
J_3097,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,1.0,1.0,0.0,0.03840213666327941,-0.006576641247920456,-0.008800201126137774,0.21385174660306383,2.483322576282084,0.19558368812842097,0.25225388326634324,2.4767459350341636,0.1867834870022832,False,False,False,high_kq_s_inv:+0.38;low_kdep_s_inv:-0.30;high_Hmax_mol_dm3:+0.29
J_1603,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,1.0,1.0,0.0,-0.018173400585267174,-0.0002471046546177469,-0.0010977912904328313,0.2644267698884022,2.5956472266116952,0.2265642056505498,0.24625336930313502,2.5954001219570775,0.22546641436011697,False,False,False,high_Hmax_mol_dm3:+0.47;high_abs_len_nm:+0.41;high_kq_s_inv:+0.39
J_2780,mode_a,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,0.24451866757919305,-0.0036617622445973552,-0.012909993973733352,0.7379779370508253,2.539144763515619,0.2540611430282941,0.9824966046300183,2.5354830012710217,0.24115114905456073,False,False,True,high_Hmax_mol_dm3:+0.41;low_DH_nm2_s:-0.40;low_kq_s_inv:-0.34
J_4013,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.4809417087565713,0.002404535483427228,-0.013854875855916104,1.5743595456190373,2.5313147981015294,0.1846441195198798,1.093417836862466,2.5337193335849566,0.1707892436639637,False,False,False,high_abs_len_nm:+0.54;high_Hmax_mol_dm3:+0.44;low_DH_nm2_s:-0.39
J_4793,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,0.017102523663830027,-0.0003092469406604792,-0.0009607980212879563,0.5703485683851035,2.5071211675260168,0.2549140582006778,0.5874510920489335,2.5068119205853563,0.25395326017938985,False,False,False,high_kq_s_inv:+0.56;high_time_s:+0.38;high_abs_len_nm:+0.32
J_1717,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,1.0,1.0,0.0,-0.02788402912010568,-0.005436791423842902,-0.01323726664630795,0.26092765471831214,2.4537795653905365,0.18056168803113226,0.23304362559820646,2.4483427739666936,0.1673244213848243,False,False,False,high_Hmax_mol_dm3:+0.58;low_dose_mJ_cm2:-0.38;high_abs_len_nm:+0.36
J_2933,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.20929959133421505,-0.019200444876311895,0.028946567834409687,1.6203908221536416,2.5245712752425398,0.11454491097578146,1.4110912308194266,2.505370830366228,0.14349147881019114,False,False,False,low_kdep_s_inv:-0.62;low_Q0_mol_dm3:-0.58;high_abs_len_nm:+0.34
J_1785,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.4185386353039391,-0.013809342710642714,-0.005986476390874129,1.429162768784991,2.5028501024427223,0.18021661769317776,1.010624133481052,2.4890407597320796,0.17423014130230363,False,False,False,low_Q0_mol_dm3:-0.46;low_kdep_s_inv:-0.36;low_DH_nm2_s:-0.30
J_3509,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.35285772906771484,-0.0037908908336810043,-0.008222516938077434,1.4852707240383758,2.426451604633987,0.15045797206707812,1.132412994970661,2.422660713800306,0.14223545512900068,False,False,False,low_kdep_s_inv:-0.81;high_Hmax_mol_dm3:+0.62;high_DH_nm2_s:+0.49
J_2243,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.01807914475305772,-0.022348046752041384,0.014783504919655327,0.638594203726246,2.6536603302389072,0.18267964079781585,0.6205150589731883,2.631312283486866,0.19746314571747117,False,False,False,high_DH_nm2_s:+0.42;high_time_s:+0.41;high_abs_len_nm:+0.15
J_1996,mode_a,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,1.0,1.0,0.0,0.1955505016514003,0.0014820211768538094,-0.0030339041087972807,0.18829994931225258,2.5142104205044076,0.2021000814412114,0.3838504509636529,2.5156924416812614,0.1990661773324141,False,False,True,high_kq_s_inv:+0.43;high_Hmax_mol_dm3:+0.40;low_kdep_s_inv:-0.21
J_1898,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.012148227169248571,5.3218986328040785e-05,-0.0006537865683144961,1.1093846249664274,2.4814766187859094,0.14316484822977393,1.0972363977971789,2.4815298377722375,0.14251106166145944,False,False,False,low_kdep_s_inv:-0.81;high_abs_len_nm:+0.54;low_Q0_mol_dm3:-0.31
J_4373,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,1.0,1.0,0.0,-0.0769041572945035,0.007171815659123393,0.008294744075753091,0.10884642089931162,2.392510487022615,0.1183285437785766,0.03194226360480812,2.399682302681738,0.1266232878543297,False,False,False,low_dose_mJ_cm2:-0.38;low_Q0_mol_dm3:-0.37;high_DH_nm2_s:+0.36
J_3290,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.4467115215795836,-0.007278175723504976,0.0015951088813098424,1.6214256887191887,2.4828155179114364,0.1754244829042445,1.174714167139605,2.4755373421879314,0.17701959178555435,False,False,False,low_Q0_mol_dm3:-0.45;low_abs_len_nm:-0.26;low_kq_s_inv:-0.20
J_1973,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.37995501532727083,0.0027878141959667424,-0.002416635258572386,1.2915152264036571,2.4528581977152903,0.19346347545619258,0.9115602110763863,2.455646011911257,0.1910468401976202,False,False,False,high_DH_nm2_s:+0.43;high_Hmax_mol_dm3:+0.34;high_time_s:+0.22
J_1357,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,1.0,1.0,-0.5230180506285471,0.002870204483202521,0.0023916494162083968,0.9964463129779606,2.533390968119197,0.16435557610703122,0.4734282623494135,2.5362611726023996,0.16674722552323962,False,False,False,low_kdep_s_inv:-0.48;high_abs_len_nm:+0.37;low_kq_s_inv:-0.28
J_3027,mode_a,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.04507170959534079,-0.00021281967661135326,0.0031809308330754404,1.6964326314164992,2.5230171851097447,0.12234069550509619,1.6513609218211585,2.5228043654331334,0.12552162633817163,False,False,True,high_kq_s_inv:+0.34;low_kdep_s_inv:-0.27;high_Q0_mol_dm3:+0.21
J_4365,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,1.0,1.0,0.0,-0.3340082371776987,0.007411734647358337,-0.028438942903018044,0.42454107846362277,2.522063651687892,0.18590593021477209,0.09053284128592409,2.52947538633525,0.15746698731175404,False,False,False,high_sigma_nm:+0.26;high_time_s:+0.26;low_dose_mJ_cm2:-0.21
J_2261,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,0.019912506179350586,-0.0028731965208455,-0.004415394561420871,0.7325217896961753,2.45256771985398,0.12169684201643549,0.7524342958755259,2.4496945233331346,0.11728144745501462,False,False,False,high_Hmax_mol_dm3:+0.63;low_dose_mJ_cm2:-0.59;low_kdep_s_inv:-0.55
J_1634,mode_a,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,0.0009495855467314129,-0.0031303985064399242,-0.0024906958800329226,2.2183934045541136,2.5528131558830642,0.22561963154508402,2.219342990100845,2.5496827573766243,0.2231289356650511,False,False,True,high_time_s:+0.52;high_Hmax_mol_dm3:+0.34;high_Q0_mol_dm3:+0.26
J_377,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,0.24793546625457452,0.016523891692708848,0.019110668860146784,0.8926111765342881,2.341550514867032,0.048841702035279155,1.1405466427888626,2.3580744065597408,0.06795237089542594,False,False,False,high_sigma_nm:+0.71;low_kdep_s_inv:-0.47;low_time_s:-0.25
J_175,mode_b,false_promise,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.7516278832475543,-0.02352314882326878,-0.002084094737422819,1.4363245500068587,3.50097379232474,0.0354418072363597,0.6846966667593044,3.4774506435014714,0.03335771249893688,False,True,False,low_dose_mJ_cm2:-0.67;low_Q0_mol_dm3:-0.61;low_kdep_s_inv:-0.53
J_1657,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,-0.1649807335847786,4.686950594434691e-05,0.0033568630950419065,0.7815940396468228,2.4525186393414296,0.18606523472718228,0.6166133060620442,2.452565508847374,0.1894220978222242,False,False,False,low_Q0_mol_dm3:-0.47;high_abs_len_nm:+0.46;high_DH_nm2_s:+0.34
J_3780,mode_b,false_promise,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,0.39756931968755893,0.02658396774951477,0.03335908016753289,1.8683783660839932,3.384994208556953,0.015490194548102187,2.265947685771552,3.4115781763064676,0.04884927471563508,False,True,False,low_kdep_s_inv:-0.63;high_time_s:+0.57;high_sigma_nm:+0.52
J_3893,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,1.0,1.0,0.0,0.25349622255628823,0.008754793897203239,0.0009117500939162387,0.19700419553083748,2.374937461427382,0.1147353690628159,0.4505004180871257,2.3836922553245854,0.11564711915673213,False,False,False,low_dose_mJ_cm2:-0.57;low_Q0_mol_dm3:-0.55;high_sigma_nm:+0.48
