recipe_id,rank_06l,fd_label,FD_CD_final_nm,FD_CD_error_nm,FD_LER_CD_locked_nm,FD_P_line_margin,FD_area_frac,strict_score_fd_nominal,strict_score_06l_surrogate,FD_pass_strict,pitch_nm,line_cd_ratio
J_2597,21,robust_valid,15.49425124766176,0.49425124766175976,2.4807611976454416,0.2078890966601561,0.5533184523809523,1.051972274165039,-2.270960384425727,True,28.0,0.45
J_3347,22,robust_valid,16.09003177641705,1.0900317764170495,2.50923798718233,0.19871261480762192,0.67046875,-0.720417175549243,-2.3528932848658197,False,24.0,0.52
J_3290,23,robust_valid,16.62142568871919,1.6214256887191887,2.4828155179114364,0.1754244829042445,0.5937946428571429,-2.320420945431505,-2.365952124475746,False,28.0,0.52
J_3027,24,robust_valid,13.3035673685835,1.6964326314164992,2.5230171851097447,0.12234069550509619,0.5545138888888889,-2.5587127203732236,-2.413393541675492,False,24.0,0.52
J_1785,25,robust_valid,16.42916276878499,1.429162768784991,2.5028501024427223,0.18021661769317776,0.5869940476190476,-1.7424341519316786,-2.515150957212909,False,28.0,0.52
J_2780,26,robust_valid,15.737977937050825,0.7379779370508253,2.539144763515619,0.2540611430282941,0.6556597222222222,0.34958147460459776,-2.6283955854382226,False,24.0,0.52
J_2141,27,robust_valid,15.694507603213737,0.6945076032137365,2.4934446828867296,0.20227714337542213,0.6538368055555556,0.46704647620264605,-2.6808440031728504,False,24.0,0.52
J_2115,28,robust_valid,13.642725564198997,1.3572744358010027,2.512315785538079,0.12718616407654904,0.5683159722222222,-1.540026766383871,-2.697211348463861,False,24.0,0.52
J_4373,29,robust_valid,15.108846420899312,0.10884642089931162,2.392510487022615,0.1183285437785766,0.5396726190476191,1.0295821359446442,-2.7072880175945913,True,28.0,0.45
J_1357,30,robust_valid,14.00355368702204,0.9964463129779606,2.533390968119197,0.16435557610703122,0.5836458333333333,-0.448250044907124,-2.7144215108180783,False,24.0,0.45
J_3475,31,robust_valid,13.597829103251064,1.4021708967489364,2.5253331990424304,0.16288691284927947,0.5664756944444445,-1.6657909620344893,-2.903435883774573,False,24.0,0.45
J_2274,32,robust_valid,14.125193291742951,0.874806708257049,2.5271000961779664,0.17833938904828828,0.5886631944444445,-0.07983527750907488,-2.913749790516679,False,24.0,0.52
J_537,33,robust_valid,15.213261379789724,0.21326137978972426,2.4712393247110613,0.11128440468202572,0.5434672619047619,1.0278211011705065,-2.943997039862666,True,28.0,0.52
J_2933,34,robust_valid,13.379609177846358,1.6203908221536416,2.5245712752425398,0.11454491097578146,0.4783779761904762,-2.3325362387169797,-3.0195199595614377,False,28.0,0.45
J_2945,35,robust_valid,16.220239245716915,1.2202392457169147,2.4273816463520395,0.15801033959467703,0.5066927083333334,-1.1212151522520748,-3.0204494194980533,False,32.0,0.45
J_3195,36,robust_valid,16.398231376515774,1.3982313765157741,2.6535698108448837,0.279971207337234,0.8233125,-1.6247013277130138,-3.1121988011744146,False,20.0,0.52
J_1717,37,robust_valid,15.260927654718312,0.26092765471831214,2.4537795653905365,0.18056168803113226,0.5450744047619047,1.0451404220077831,-3.202943991252647,True,28.0,0.45
J_4365,38,robust_valid,14.575458921536377,0.42454107846362277,2.522063651687892,0.18590593021477209,0.6073090277777777,1.046476482553693,-3.2050474128769166,True,24.0,0.45
J_1412,39,robust_valid,16.46702513514248,1.4670251351424817,2.744371655203757,0.2356359734575174,0.8265625,-1.8421664120630656,-3.346782793504476,False,20.0,0.6
J_2002,40,robust_valid,13.32024388660717,1.6797561133928305,2.4847367665816087,0.08047799481176376,0.5552256944444445,-2.5191488414755505,-3.353726041952561,False,24.0,0.52
