recipe_id,rank_06c,rank_06a_rescore,yield_score_06c,yield_score_06a,p_robust_valid_06c,p_robust_valid_06a,mean_cd_fixed_06c,mean_cd_fixed_06a,mean_ler_locked_06c,mean_ler_locked_06a,cd_error_penalty_06c,ler_penalty_06c,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
D_4595,1183,746,0.2830250000000002,0.3142000000000003,0.7258000000000001,0.7373166666666667,14.588306686023325,15.102597358784081,2.580700487270733,2.743950461074367,0.0,0.0,24.0,0.52,48.359788343310356,0.9612435540184379,0.7229099415242672,28.548655617050827,0.20451482630334794,0.40409700227901335,0.002571992017328739,1.9960318729281425,50.0
D_1654,1184,2988,0.2829057988663664,-2.0766876924549074,0.7552166666666668,0.7266166666666669,16.202652534466967,18.443987692454908,2.583859382945747,2.687117392743626,0.20265253446696718,0.0,24.0,0.52,26.888471723534167,1.0139066325500607,0.7016835791990161,37.46377032250166,0.19704531999304892,0.6101512001827359,0.0081210055667907,1.7875811913982034,50.0
D_787,1185,1134,0.28254166666666625,0.03627872604362578,0.6834666666666664,0.6323499999999996,14.112426463768902,16.119121273956374,2.5920813242743908,2.737462778850716,0.0,0.0,24.0,0.52,49.38639376871288,1.115013437345624,0.7604623448103667,29.736287663690746,0.16656192623078822,0.6463146531954408,0.029744016397744415,0.8969730990938842,50.0
D_1444,1186,2884,0.28203333333333364,-1.9302612989927739,0.7358333333333335,0.7101666666666671,15.90881485346056,18.147161298992774,2.5767909287379895,2.6985267700468984,0.0,0.0,24.0,0.52,57.98335960507393,1.5930735357105732,0.6396921618841589,42.67512364778668,0.2056576690543443,0.39353749491274354,0.01434775186702609,0.8144966820254922,50.0
D_4978,1187,2333,0.28182500000000005,-1.1585365714045408,0.6914,0.7061666666666668,15.759100975601587,17.431169904737875,2.6227640374731322,2.7069736289396436,0.0,0.0,24.0,0.52,42.40481176972389,0.42637144681066275,0.7046113262884319,43.23315755929798,0.1810697499103844,0.4697409635409713,0.016130251474678517,0.5347959818318486,50.0
D_3876,1188,1123,0.2814642194118513,0.0474561300752801,0.8521833333333342,0.7559166666666663,16.33951078058815,16.342910536591386,2.5467028302933397,2.5699237895853115,0.33951078058814943,0.0,24.0,0.52,58.452727261930704,2.4154993956908584,0.419491440244019,31.506761331111193,0.15030720771290362,0.5903786789625883,0.020150891644880174,1.0737916962243617,50.0
D_1842,1189,2048,0.28109509044328546,-0.7843524911752795,0.7998999999999991,0.7390833333333338,13.81547842377662,17.133335824508613,2.627115684876319,2.7646202269656728,0.18452157622338028,0.0,24.0,0.52,53.740808034315705,0.24906584434211254,0.6999234302900732,41.00775046274066,0.17264469711109995,0.37537733083590863,0.011183861587196588,1.098076730966568,50.0
D_1339,1190,2953,0.28106194317793903,-2.027454817238853,0.7601833333333335,0.7333333333333334,16.157079723488728,18.39587148390552,2.5739913687324774,2.6858810429835818,0.157079723488728,0.0,24.0,0.52,34.25401074718684,0.32896238565444946,0.6550127865746618,38.441301910206676,0.1627954976633191,0.5799453438259661,0.007617027014493942,0.9960246095433831,50.0
D_110,1191,1020,0.28095833333333403,0.1199750000000004,0.668533333333334,0.5975000000000003,15.389901720467417,14.937421652854441,2.583514024376111,2.7218452963198185,0.0,0.0,24.0,0.52,27.85329127125442,0.6181358462199569,0.7386821310035885,32.495932658202946,0.2146053560357541,0.5235008752904833,0.0010577102657407522,1.872579414397478,50.0
D_2974,1192,1415,0.28080868950249804,-0.17290532649410084,0.7679166666666668,0.7582833333333329,16.179974643830835,16.6191053264941,2.5382026863387193,2.5596060632879145,0.1799746438308354,0.0,24.0,0.52,44.68872070033103,2.0261235460639,0.5487107077613473,37.18717205803841,0.21901983979158102,0.47759574083611367,0.021627364000305533,1.6976423561573029,50.0
