pitch_nm,dose_mJ_cm2,sigma_nm,DH,time_s_set,quencher_mode,status,CD_initial_nm,CD_final_nm,CD_shift_nm,CD_locked_nm,LER_CD_locked_nm,P_threshold_locked,P_line_center_mean,P_space_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,psd_locked_mid
18.0,28.4,0.0,0.3,30.0,weak,robust_valid,12.458333333333332,12.704283924517723,0.2459505911843909,12.431263670628823,3.0513081215838715,0.5125,0.7154939509992572,0.32420882269714885,0.06549395099925714,0.3912851283021083,0.7061111111111111,0.7057935513620958,3.2086257051790135
18.0,28.4,0.0,0.5,20.0,False,under_exposed,12.458333333333332,9.93574275512521,-2.5225905782081224,12.334748056665658,3.1718784731449103,0.42500000000000004,0.5981196780276491,0.2806172920057533,-0.05188032197235093,0.3175023860218958,0.5529861111111111,0.5519857086180672,3.138444803337921
18.0,28.4,0.0,0.5,20.0,weak,under_exposed,12.458333333333332,9.016582451083057,-3.4417508822502754,12.48487052572914,3.1679141010382077,0.396875,0.5765418522432147,0.25889497016843327,-0.07345814775678527,0.3176468820747815,0.5025694444444444,0.5009212472823921,3.1081168782824435
18.0,28.4,0.0,0.5,30.0,False,robust_valid,12.458333333333332,14.538265374180924,2.0799320408475914,12.708061710854514,3.4866088040014476,0.559375,0.71980883196106,0.4404959847246323,0.06980883196106002,0.27931284723642774,0.8141435185185185,0.807681409676718,3.2509913749143466
18.0,28.4,0.0,0.5,30.0,weak,valid,12.458333333333332,13.463732739799543,1.0053994064662106,12.629762829942603,3.444845396021923,0.528125,0.6937854786569492,0.40333407003424426,0.04378547865694915,0.2904514086227049,0.7516435185185185,0.7479851522110857,3.1872778750083985
18.0,28.4,1.0,0.3,20.0,False,under_exposed,12.459166062958843,10.482217548603554,-1.9769485143552892,12.61542252380967,3.134054642591565,0.42500000000000004,0.6126137737527134,0.2602274823489877,-0.0373862262472866,0.35238629140372574,0.5830092592592593,0.5823454193668641,3.296253901260672
18.0,28.4,1.0,0.3,20.0,weak,under_exposed,12.459166062958843,9.719662049090108,-2.7395040138687357,12.470961057760766,3.0857642851822185,0.4078125,0.5909063489371662,0.24006437054226337,-0.05909365106283382,0.35084197839490283,0.5396527777777778,0.5399812249494504,3.27118366927341
18.0,28.4,1.0,0.3,30.0,False,robust_valid,12.459166062958843,14.352430082301646,1.8932640193428032,12.300741830550793,3.3209609434346783,0.578125,0.74039579614582,0.4092950724119943,0.09039579614581994,0.33110072373382565,0.8015740740740741,0.7973572267945359,3.0908028883027447
18.0,28.4,1.0,0.3,30.0,weak,robust_valid,12.459166062958843,13.489211396929074,1.0300453339702305,12.349533142182306,3.2931593048948797,0.54375,0.7150021217019633,0.3734303681539783,0.06500212170196329,0.341571753547985,0.7529398148148149,0.7494006331627263,3.094736351323808
18.0,28.4,1.0,0.5,20.0,False,under_exposed,12.459166062958843,10.276811914149889,-2.1823541488089546,12.251652293402865,3.40783004049685,0.45,0.5980050071383193,0.31841749825970267,-0.051994992861680744,0.2795875088786166,0.5716898148148148,0.5709339952305493,3.005595088929537
