Hmax,kdep,DH,status,selectable,CD_locked_nm,LER_CD_locked_nm,P_threshold_locked,cd_lock_status,P_line_center_mean,P_space_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,psd_locked_mid,psd_mid_band_reduction_locked_pct,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_after_PEB_P_nm,total_LER_reduction_pct,total_LER_reduction_locked_pct,H_peak,H_min,P_max,P_min,distance_to_target
0.2,0.35,0.8,under_exposed,False,12.297278727905892,2.5885736387635627,0.45,ok,0.5864598427962288,0.2396492197274816,-0.06354015720377126,0.34681062306874716,0.4125173611111111,0.412737166022829,0.7862273998155253,82.97472257807848,12.458324199521941,9.905691984547897,-2.552632214974045,2.77190169436708,2.6041346164160317,2.5933523976551096,6.441400756556749,6.613800769921509,0.06507184307169055,0.02734524301457963,0.6120768517040772,0.16470549717054542,0.3396489676517205
0.2,0.5,0.3,robust_valid,True,12.445499193436458,2.456604900261986,0.578125,ok,0.7663743816828305,0.1699131481739505,0.11637438168283043,0.5964612335088799,0.5939930555555556,0.593913023113474,1.3796443532909517,70.12463841392808,12.458324199521941,14.253912554723376,1.795588355201435,2.77190169436708,2.6041346164160317,2.4836311876946446,10.399737741718774,11.37474661333858,0.08241185790540548,0.010594648210081412,0.7809859799405237,0.07577137094834241,0.07426791493101452
0.2,0.5,0.5,robust_valid,True,12.31041177549831,2.4708961622430103,0.578125,ok,0.7455084725972216,0.2458958293717591,0.09550847259722162,0.4996126432254625,0.6056597222222222,0.6052992135613827,1.0323447669340082,77.64520028652743,12.458324199521941,14.527181125473186,2.068856925951245,2.77190169436708,2.6041346164160317,2.528799282447813,8.770239305863106,10.85917053753234,0.07377574743277374,0.01868237500739608,0.7657574629017025,0.14436344326045455,0.05881531049927986
0.2,0.5,0.8,robust_valid,True,12.300156063116582,2.5885506034555616,0.575,ok,0.7178401156310017,0.3236809315780979,0.06784011563100167,0.3941591840529038,0.62671875,0.6269824678413275,0.7869027398071504,82.96009850021726,12.458324199521941,15.04757922819186,2.5892550286699194,2.77190169436708,2.6041346164160317,2.71415864358474,2.0831565166860906,6.6146317989600885,0.06507184307169055,0.02734524301457963,0.7427210846757852,0.22687119088432678,0.005427068668215337
0.2,0.65,0.3,robust_valid,True,12.603368611541583,2.4583174395609357,0.66875,ok,0.8499960201508849,0.21453104802564155,0.1999960201508849,0.6354649721252434,0.6696875,0.6692637073918434,1.383025538159846,70.05142090659976,12.458324199521941,16.062328977404242,3.6040047778823006,2.77190169436708,2.6041346164160317,2.537628080175507,8.451728813747335,11.312964505321185,0.08241185790540548,0.010594648210081412,0.8621948975146521,0.09738882192346204,0.08936030971654775
0.2,0.65,0.5,robust_valid,True,12.503935548029403,2.473664768032183,0.66875,ok,0.8322041962413609,0.3066898366500898,0.18220419624136086,0.525514359591271,0.7014583333333333,0.7013895908520515,1.0362930728669764,77.559702116569,12.458324199521941,16.833350180449237,4.375025980927296,2.77190169436708,2.6041346164160317,2.693573349494471,2.8257980804941254,10.759289441647917,0.07377574743277374,0.01868237500739608,0.8495201767078026,0.18354906725915018,0.1315278689068711
0.2,0.65,0.8,robust_valid,True,12.425768956668609,2.5907675799979586,0.66875,ok,0.8079331516143288,0.3983155377247621,0.15793315161432875,0.4096176138895667,0.7687847222222223,0.7671730812648242,0.7888036468872389,82.9189355104774,12.458324199521941,18.41215395035578,5.9538297508338385,2.77190169436708,2.6041346164160317,3.378963042422219,-21.900536706939445,6.534651453809242,0.06507184307169055,0.02734524301457963,0.8298696149395225,0.28450016159952285,0.227504643474258
0.22,0.35,0.3,valid,True,12.615484237570204,2.4579744214996966,0.48125000000000007,ok,0.675432335704067,0.1346166566241148,0.025432335704067,0.5408156790799522,0.5044965277777778,0.5043328140446399,1.3786182009607644,70.14685912018011,12.458324199521941,12.103987537071358,-0.35433666245058326,2.77190169436708,2.6041346164160317,2.453334302955303,11.492737713575982,11.325339333113101,0.09206665632654176,0.011771818929411192,0.6912115533317544,0.05913002411919128,0.2006463892900493
0.22,0.35,0.5,valid,True,12.517160414047803,2.473772208893659,0.48125000000000007,ok,0.6532272546603473,0.19686145456466653,0.003227254660347234,0.45636580009568073,0.49614583333333334,0.49553017109928765,1.0317536089514205,77.65800145404728,12.458324199521941,11.892724106382904,-0.5656000931390377,2.77190169436708,2.6041346164160317,2.4655971118458657,11.05034075139357,10.755413371234077,0.08244742780330842,0.020828768823998273,0.6747097897563099,0.11377494053974141,0.21276479429577505
0.22,0.35,0.8,under_exposed,False,12.699896077884945,2.598223922721283,0.475,ok,0.6243953767365239,0.2620135177751214,-0.025604623263476123,0.3623818589614025,0.4853125,0.4849220202645934,0.7876500064655678,82.94391689401695,12.458324199521941,11.638128486350242,-0.8201957131716995,2.77190169436708,2.6041346164160317,2.580913703141248,6.890143023973329,6.265654081410478,0.07275382942032392,0.030564065222053155,0.6502017902414341,0.18090106348100782,0.22412580858967798
0.22,0.5,0.3,robust_valid,True,12.53440052879277,2.457091931518047,0.6125,ok,0.8008975949725303,0.18613419166966452,0.1508975949725303,0.6147634033028658,0.6254513888888888,0.6248574558420757,1.378229788109103,70.1552699648738,12.458324199521941,14.996578940209819,2.5382547406878775,2.77190169436708,2.6041346164160317,2.500482116546003,9.791818316379775,11.357176320097276,0.09206665632654176,0.011771818929411192,0.8147297447686138,0.08341369941524289,0.05496511490073869
0.22,0.5,0.5,robust_valid,True,12.419214246163264,2.472226146592615,0.6125,ok,0.7809768619788606,0.2684572430149597,0.1309768619788606,0.512519618963901,0.6441145833333334,0.6440366278675808,1.0304826333570591,77.68552365957657,12.458324199521941,15.456879068821939,2.9985548692999977,2.77190169436708,2.6041346164160317,2.5753781449020554,7.089845569357309,10.811189602555194,0.08244742780330842,0.020828768823998273,0.8003121576371115,0.15856722022686356,0.057817286918512005
0.22,0.5,0.8,robust_valid,True,12.31651299714498,2.5898431777507254,0.6125,ok,0.754291572718949,0.35187282227590394,0.10429157271894895,0.40241875044304504,0.6796006944444445,0.6797826521515763,0.7837590849888963,83.02817243838336,12.458324199521941,16.314783651637832,3.8564594521158906,2.77190169436708,2.6041346164160317,2.8595333605949564,-3.1614276367,6.568000480909004,0.07275382942032392,0.030564065222053155,0.778312206911811,0.24823294304069307,0.0877392517013744
0.22,0.65,0.3,robust_valid,True,12.608553842927869,2.457951505333686,0.70625,ok,0.8783430253563218,0.23431863991217985,0.22834302535632178,0.644024385444142,0.6965798611111111,0.6962980007545293,1.3797636613065023,70.1220548712229,12.458324199521941,16.711152018108702,4.252827818586761,2.77190169436708,2.6041346164160317,2.571246887072555,7.238886130135342,11.326166063947644,0.09206665632654176,0.011771818929411192,0.8893327220905076,0.10708519766415817,0.1264847599837234
0.22,0.65,0.5,robust_valid,True,12.51071278499818,2.4736523045069796,0.70625,ok,0.8621374468849358,0.33343852267114626,0.21213744688493574,0.5286989242137895,0.7386979166666666,0.7387924616135235,1.0328754008226775,77.6337097315478,12.458324199521941,17.731019078724565,5.272694879202623,2.77190169436708,2.6041346164160317,2.8433809818316433,-2.578709324714508,10.759739079715125,0.08244742780330842,0.020828768823998273,0.877917425571513,0.20114372466218472,0.18844159382286765
0.22,0.65,0.8,robust_valid,True,12.435086007093785,2.5919693548489007,0.70625,ok,0.8397290014513,0.43066185175851135,0.1897290014513,0.4090671496927887,0.8253645833333333,0.8224608687419509,0.7856167401559055,82.98794604258487,12.458324199521941,19.739060849806823,7.280736650284881,2.77190169436708,2.6041346164160317,3.4327273941491456,-23.840156421310414,6.491295845153125,0.07275382942032392,0.030564065222053155,0.8600129824903872,0.31013686522999806,0.3159524877561841
