thickness_nm,amplitude,absorption_length_nm,DH_nm2_s,H0_z_modulation_pct,H0_z_modulation_sw_only_pct,P_final_z_modulation_pct,modulation_reduction_pct,top_bottom_asymmetry,sidewall_x_displacement_std_nm,psd_mid_band_locked,P_threshold_locked,CD_locked_nm,cd_lock_status,H_min,P_min,P_max,bounds_ok
15.0,0.2,15.0,0.3,82.62366020749889,12.134564196493045,29.30918340541462,64.52688814341037,0.253148725189883,2.742247770223967,5.71461527616201,0.44999999999999996,12.52312324697914,ok,0.010677782052449734,0.09766032824927205,0.7443532900094764,True
15.0,0.2,15.0,0.5,82.62366020749889,12.134564196493045,27.20205675839816,67.07715841916998,0.23788361951382864,2.9282274353301014,6.538600453755736,0.44999999999999996,12.455926541142428,ok,0.016244079473854266,0.15150855840107114,0.7122974204553569,True
15.0,0.2,15.0,0.8,82.62366020749889,12.134564196493045,24.59059875605691,70.23782449930114,0.21793898083955873,3.1849971048721732,7.745143037260398,0.45312500000000006,12.296099057876152,ok,0.02213649770996117,0.2126164458880061,0.6726710194306984,True
15.0,0.2,30.0,0.3,48.31045651164551,15.563758968346328,11.425623011926543,76.34958591382316,0.10158951061522781,1.2353854282563612,1.1676621686959918,0.5265624999999999,12.526154452069672,ok,0.015298485333677014,0.1396062892323487,0.7608328528474774,True
15.0,0.2,30.0,0.5,48.31045651164551,15.563758968346328,10.196761620233913,78.89326171493343,0.09602246463063482,1.3159302696859652,1.3263337421783181,0.528125,12.319729476755203,ok,0.02238825218964943,0.20726489538575882,0.7342972232769268,True
15.0,0.2,30.0,0.8,48.31045651164551,15.563758968346328,9.32248112713933,80.702974469115,0.08853927252449242,1.3716976322561771,1.4426535911530658,0.5203125,12.48492655908407,ok,0.029363848597734138,0.2785620581086586,0.7008792624738953,True
15.0,0.2,60.0,0.3,35.026027811428044,19.484120789921427,5.7103222497335935,83.69691738818733,0.03790807463804685,0.5748931105735385,0.2586219900800617,0.5609375,12.587072533856709,ok,0.018232822826192017,0.16275667868096497,0.7689091030958513,True
15.0,0.2,60.0,0.5,35.026027811428044,19.484120789921427,4.725419380412336,86.50883449915334,0.03586844271485698,0.568960516692,0.2516009436216682,0.559375,12.465941991792533,ok,0.02617962930976134,0.23941487392858826,0.7451207556290641,True
15.0,0.2,60.0,0.8,35.026027811428044,19.484120789921427,3.984734419629233,88.62350466606686,0.03319620439666897,0.5908521774426301,0.27048059319321416,0.559375,12.319665729834956,ok,0.03371891077764725,0.3161453894665284,0.7148701239357488,True
15.0,0.2,100.0,0.3,30.161656734348156,21.0612901459387,3.7863169252620565,87.4465883667783,0.015517591985675783,0.37703869388924416,0.11657174401278832,0.578125,12.51140596038077,ok,0.01944544161149901,0.17198420136356338,0.7720975581006023,True
15.0,0.2,100.0,0.5,30.161656734348156,21.0612901459387,2.9325593992125043,90.277193905357,0.01458053356034889,0.32832382501774576,0.08751393422543634,0.575,12.414945153519684,ok,0.027833115939846036,0.2516238186047824,0.7493941686460324,True
