sweep,x_var,y_var,x_val,y_val,CD_final_nm,CD_locked_nm,LER_CD_locked_nm,P_line_margin,area_frac,contrast,psd_locked_mid,status
oat:Q0_mol_dm3,Q0_mol_dm3,,0.02,,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
oat:Q0_mol_dm3,Q0_mol_dm3,,0.03,,13.683177865663911,12.43929893456197,2.468948777356901,0.07146083068959452,0.5704340277777777,0.5042674293629819,1.0605284844699874,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,21,0,8.547175626452225,12.453645698441935,2.5266717872674316,-0.07346289121480665,0.35682291666666666,0.4743391613017245,1.8694970425382706,under_exposed
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,28.4,0,11.262707490607493,12.347643041934287,2.524731261802409,0.01361314786234935,0.46987847222222223,0.5365395774356141,1.855058253993647,valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,40,0,13.018339635238231,12.500378145255844,2.52392313387989,0.09877736674808146,0.54296875,0.591190710819826,1.8382643902982647,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,44.2,0,13.419118590777165,12.591009332662747,2.5238198154935114,0.11986721421606383,0.5588888888888889,0.6033207518110959,1.8311642827544006,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,59,0,14.39741378810694,12.349898486446111,2.522133749480321,0.17029984779059548,0.5996006944444444,0.6289543560230398,1.826804493936852,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,60,0,14.446836884866315,12.406820582009404,2.5222801953616973,0.17275132381953306,0.60171875,0.6300488852287959,1.8262846300072813,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,21,1,8.554921851426553,12.472323445392409,2.499992575458534,-0.07426679738399122,0.35736111111111113,0.45928367686201643,1.5530716675455725,under_exposed
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,28.4,1,11.550432780343215,12.415674655088809,2.498887804900901,0.01390263591405505,0.4817534722222222,0.516551292709483,1.5386597739452235,valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,40,1,13.698084518565286,12.312849281680691,2.497682917351274,0.10066514243635871,0.5711805555555556,0.5630492419933335,1.5210956306304824,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,44.2,1,14.210103022516282,12.496286330476511,2.499288289945433,0.1222619962885324,0.5920138888888888,0.5721415691263974,1.5218456549896868,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,59,1,15.510195414724086,12.350623056458591,2.4983620369095645,0.17419935128243436,0.6458680555555556,0.5870033166662423,1.5048843084673762,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,60,1,15.578947123660232,12.436694990658335,2.499243554005627,0.1767391879050031,0.6490104166666667,0.587375341424297,1.5072689350679216,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,21,2,8.090904118228268,12.385841746873705,2.466694733556305,-0.08296880287065567,0.3375520833333333,0.41813084286762714,1.0537974228775757,under_exposed
