block_label,pitch_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Q0_mol_dm3,kq_s_inv,P_space_center_mean,P_line_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_after_PEB_P_nm,electron_blur_LER_reduction_pct,PEB_LER_reduction_pct,total_LER_reduction_pct,psd_PEB_high,psd_high_band_reduction_pct,status
control_sigma0_no_q,16.0,59.0,0.0,0.5,30.0,0.02,1.0,0.7047603507274274,0.8610505755647826,0.21105057556478257,0.15629022483735522,1.0,0.96875,12.447916666666666,15.5,3.052083333333334,2.695676253890114,2.695676253890114,0.0,0.0,100.00000000000001,100.00000000000001,0.0,100.0,merged
control_sigma0_no_q,16.0,60.0,0.0,0.5,30.0,0.02,1.0,0.7073453512826953,0.8630760600324386,0.21307606003243862,0.15573070874974337,1.0,0.96875,12.447916666666666,15.5,3.052083333333334,2.695676253890114,2.695676253890114,0.0,0.0,100.00000000000001,100.00000000000001,0.0,100.0,merged
control_sigma0_no_q,18.0,21.0,0.0,0.5,30.0,0.02,1.0,0.37334093934102985,0.6394720418952087,-0.010527958104791346,0.2661311025541788,0.6719212962962963,0.670816687901652,12.458333333333332,12.074700382229738,-0.3836329511035945,2.77190169436708,2.77190169436708,3.4445686018846997,0.0,-24.267343567218845,-24.267343567218845,0.07925853735991839,89.81211575178189,under_exposed
control_sigma0_no_q,18.0,28.4,0.0,0.5,30.0,0.02,1.0,0.4404959847246323,0.71980883196106,0.06980883196106002,0.27931284723642774,0.8141435185185185,0.807681409676718,12.458333333333332,14.538265374180924,2.0799320408475914,2.77190169436708,2.77190169436708,3.420244206168344,0.0,-23.38980899354379,-23.38980899354379,0.3342871427658462,57.03076501777236,robust_valid
control_sigma0_no_q,18.0,40.0,0.0,0.5,30.0,0.02,1.0,0.5135367555703417,0.7952525505391028,0.1452525505391028,0.2817157949687611,0.9267824074074074,0.9101689767942786,12.458333333333332,16.383041582297015,3.9247082489636824,2.77190169436708,2.77190169436708,2.2691680623880943,0.0,18.13677710867654,18.13677710867654,0.21310056659773688,72.60807506617766,merged
control_sigma0_no_q,18.0,44.2,0.0,0.5,30.0,0.02,1.0,0.5332346405148393,0.8134805741032707,0.16348057410327066,0.2802459335884314,0.9463888888888888,0.9265799415994442,12.458333333333332,16.678438948789996,4.220105615456664,2.77190169436708,2.77190169436708,1.9951925622913262,0.0,28.0208036834114,28.0208036834114,0.18396190813755958,76.35355523057409,merged
control_sigma0_no_q,18.0,59.0,0.0,0.5,30.0,0.02,1.0,0.5840236488721398,0.8563567530726603,0.20635675307266033,0.2723331042005206,0.9776157407407408,0.9537080750756787,12.458333333333332,17.166745351362216,4.708412018028884,2.77190169436708,2.77190169436708,1.2369597251500564,0.0,55.375050721901715,55.375050721901715,0.14621194741260182,81.20593130325118,merged
control_sigma0_no_q,18.0,60.0,0.0,0.5,30.0,0.02,1.0,0.5866530391404311,0.8584154198001634,0.20841541980016343,0.27176238065973235,0.9786805555555556,0.9546854212569649,12.458333333333332,17.184337582625368,4.7260042492920356,2.77190169436708,2.77190169436708,1.1960324460567755,0.0,56.85155615412722,56.85155615412722,0.1458541436087173,81.25192336743719,merged
control_sigma0_no_q,20.0,21.0,0.0,0.5,30.0,0.02,1.0,0.28003436787605523,0.6370919952295954,-0.012908004770404657,0.35705762735354013,0.56025,0.5593099887919417,12.458333333333332,11.186199775838833,-1.2721335574944987,2.77190169436708,2.77190169436708,2.7570328033003717,0.0,0.5364148049306409,0.5364148049306409,0.0015380763104056391,99.80229582910191,under_exposed
control_sigma0_no_q,20.0,28.4,0.0,0.5,30.0,0.02,1.0,0.33528425734527645,0.7174980407046424,0.06749804070464238,0.38221378335936596,0.6661666666666667,0.6658504076169308,12.458333333333332,13.317008152338616,0.8586748190052838,2.77190169436708,2.77190169436708,2.9453364635042076,0.0,-6.25688744624577,-6.25688744624577,0.0015531882746480819,99.80035333877096,robust_valid
control_sigma0_no_q,20.0,40.0,0.0,0.5,30.0,0.02,1.0,0.3977109224562975,0.7931430766380493,0.14314307663804926,0.39543215418175176,0.7738333333333334,0.7710574117642881,12.458333333333332,15.421148235285761,2.962814901952429,2.77190169436708,2.77190169436708,3.3194051613015247,0.0,-19.75190779842784,-19.75190779842784,0.11189570419440935,85.61693768043224,robust_valid
control_sigma0_no_q,20.0,44.2,0.0,0.5,30.0,0.02,1.0,0.41501949094838,0.811444622110199,0.16144462211019894,0.396425131161819,0.8017083333333334,0.798564016428451,12.458333333333332,15.97128032856902,3.512946995235687,2.77190169436708,2.77190169436708,3.3421650793189306,0.0,-20.573001781077277,-20.573001781077277,0.3087412188462974,60.31443545347945,robust_valid
control_sigma0_no_q,20.0,59.0,0.0,0.5,30.0,0.02,1.0,0.4607011550475774,0.8545416867425172,0.20454168674251716,0.39384053169493977,0.8720416666666667,0.8632781613173203,12.458333333333332,17.265563226346405,4.807229893013073,2.77190169436708,2.77190169436708,3.048088973235106,0.0,-9.96381940345432,-9.96381940345432,0.3114102610254147,59.9713570460269,merged
control_sigma0_no_q,20.0,60.0,0.0,0.5,30.0,0.02,1.0,0.4631104592048221,0.8566128798175942,0.20661287981759413,0.3935024206127721,0.875375,0.8662252573541318,12.458333333333332,17.324505147082636,4.866171813749304,2.77190169436708,2.77190169436708,3.016888124915147,0.0,-8.838207756282126,-8.838207756282126,0.3030022961978663,61.05211598101919,merged
