sigma_nm,Q0_mol_dm3,kq_s_inv,row_kind,P_space_center_mean,P_line_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_after_PEB_P_nm,electron_blur_LER_reduction_pct,PEB_LER_reduction_pct,total_LER_reduction_pct,psd_design_high,psd_eblur_high,psd_PEB_high,psd_high_band_reduction_pct,dCD_shift_nm,darea_frac,dtotal_LER_pp,gate_passed,robust_candidate,fail_reason,robust_reason
2.0,0.01,0.5,quencher,0.2909797159897309,0.7747753492053738,0.12477534920537381,0.48379563321564295,0.6551041666666667,0.6547971733607538,12.458324199521941,15.715132160658092,3.2568079611361505,2.77190169436708,2.6041346164160317,2.6128690472386364,6.05241803098487,-0.33540627153236713,5.737311949107783,0.7779685696152365,0.00010646316336754631,9.936901142104938e-06,99.99872271174824,-0.5768037643225536,-0.0235763888888888,2.1818401931758866,True,True,,
2.0,0.01,1.0,quencher,0.277200784486392,0.7683415840705088,0.11834158407050877,0.49114079958411677,0.64109375,0.6411656374831473,12.458324199521941,15.387975299595533,2.929651100073592,2.77190169436708,2.6041346164160317,2.5835134438960217,6.05241803098487,0.7918627704580866,6.796353956343096,0.7779685696152365,0.00010646316336754631,9.259153416814101e-06,99.99880982937121,-0.9039606253851122,-0.03758680555555549,3.2408822004112,True,True,,
2.0,0.01,2.0,quencher,0.25952886924983265,0.763414178834999,0.11341417883499894,0.5038853095851663,0.6276909722222223,0.6274885057212357,12.458324199521941,15.059724137309658,2.6013999377877166,2.77190169436708,2.6041346164160317,2.5561165024587105,6.05241803098487,1.8439182696095295,7.7847346587679285,0.7779685696152365,0.00010646316336754631,1.035635457530046e-05,99.99866879524704,-1.2322117876709875,-0.050989583333333255,4.229262902836032,True,True,,
2.0,0.02,0.5,quencher,0.2720066229901017,0.7592421556053913,0.1092421556053913,0.4872355326152896,0.6313020833333334,0.6316108202445453,12.458324199521941,15.158659685869086,2.7003354863471447,2.77190169436708,2.6041346164160317,2.569779780614075,6.05241803098487,1.319241931096394,7.291813925571273,0.7779685696152365,0.00010646316336754631,9.279385927014074e-06,99.99880722868642,-1.1332762391115594,-0.047378472222222134,3.7363421696393773,True,True,,
2.0,0.02,1.0,quencher,0.2458958293717591,0.7455084725972216,0.09550847259722162,0.4996126432254625,0.6056597222222222,0.6052992135613827,12.458324199521941,14.527181125473186,2.068856925951245,2.77190169436708,2.6041346164160317,2.528799282447813,6.05241803098487,2.892912428309864,8.770239305863106,0.7779685696152365,0.00010646316336754631,1.555515235368112e-05,99.9980005423148,-1.7647547995074593,-0.07302083333333331,5.21476754993121,True,True,,
2.0,0.02,2.0,quencher,0.2126355278569872,0.7343848778293043,0.08438487782930426,0.5217493499723171,0.5797395833333333,0.5791680520662325,12.458324199521941,13.900033249589578,1.4417090500676366,2.77190169436708,2.6041346164160317,2.4948504528266406,6.05241803098487,4.196563530183189,9.994987993385518,0.7779685696152365,0.00010646316336754631,2.7793754926635395e-05,99.9964273935976,-2.3919026753910675,-0.0989409722222222,6.439516237453622,True,True,,
2.0,0.03,0.5,quencher,0.2540212456105639,0.743313309347929,0.09331330934792903,0.48929206373736517,0.60921875,0.6089556104218014,12.458324199521941,14.614934650123232,2.15661045060129,2.77190169436708,2.6041346164160317,2.5375515373617508,6.05241803098487,2.5568217032465332,8.454490196443976,0.7779685696152365,0.00010646316336754631,1.3819284096278946e-05,99.99822367064223,-1.677001274857414,-0.06946180555555548,4.89901844051208,True,True,,
2.0,0.03,1.0,quencher,0.21719340132661272,0.7214608306895945,0.07146083068959452,0.5042674293629819,0.5704340277777777,0.5701324110693297,12.458324199521941,13.683177865663911,1.2248536661419696,2.77190169436708,2.6041346164160317,2.4941242732406446,6.05241803098487,4.224449169482263,10.021185877223598,0.7779685696152365,0.00010646316336754631,2.9467478788406163e-05,99.99621225330439,-2.6087580593167345,-0.10824652777777777,6.465714121291702,True,True,,
2.0,0.03,2.0,quencher,0.17142244601622814,0.7027534773043403,0.052753477304340324,0.5313310312881122,0.53125,0.5312195466060387,12.458324199521941,12.749269118544927,0.29094491902298536,2.77190169436708,2.6041346164160317,2.4617036847563227,6.05241803098487,5.469415089444611,11.190801255366528,0.7779685696152365,0.00010646316336754631,5.611190511994182e-05,99.99278738148153,-3.5426668064357187,-0.1474305555555555,7.635329499434633,True,True,,
3.0,0.0,0.0,baseline,0.39780212019246014,0.7797526303377291,0.1297526303377291,0.381950510145269,0.7647222222222222,0.7628486949721548,12.460708547320328,18.308368679331714,5.847660132011386,2.77190169436708,2.4653748951043815,3.3958887894639944,11.05835751266385,-37.74330209200155,-22.511155296919434,0.7779685696152365,7.728923722138845e-07,0.0598532758858087,92.30646606772166,0.0,0.0,0.0,True,False,,dCD_shift=+0.00 not<0; darea_frac=+0.000 not<0
